cell_id	state	mean	sd	lower	upper
Cell000001	resident	0.155423168718208	0.0868903327820049	0.0649692203621118	0.253365391020433
Cell000002	resident	0.0948966153263692	0.0616378974401546	0.047966035307217	0.201203004219355
Cell000003	resident	0.122570600004098	0.0480390272802072	0.0718535140022692	0.183011536125357
Cell000004	resident	0.0719865559036594	0.0359940429902926	0.0424136330896525	0.125036014421803
Cell000005	resident	0.346968066729346	0.0978373626006325	0.224169069684013	0.432989934780962
Cell000006	resident	0.33839167887079	0.0538302449160057	0.271127352967108	0.412944922186667
Cell000007	resident	0.0803042728495225	0.0415261384839849	0.0380767309569006	0.139661126695858
Cell000008	resident	0.149006257596588	0.0248921307964673	0.12486774580968	0.179847788500391
Cell000009	resident	0.0940342581262584	0.0396332754389447	0.0607494778811797	0.15485305662554
Cell000010	resident	0.155759580823835	0.052431906105204	0.0879556060253203	0.20075662024405
Cell000011	resident	0.212791343224707	0.0516061273402717	0.14972139949121	0.263067298688077
Cell000012	resident	0.10397539912255	0.0609975526939988	0.0484058080570772	0.182337480410336
Cell000013	resident	0.0914647789487292	0.0247028863265721	0.0766026447049064	0.142827165961225
Cell000014	resident	0.30869663462502	0.0924826297618707	0.208137573364914	0.403710888027093
Cell000015	resident	0.33510377713028	0.0548598882457374	0.274608193709738	0.406049060593007
Cell000016	resident	0.285921110509566	0.0509397967547057	0.238497775141229	0.32994556310987
Cell000017	resident	0.276562637254144	0.0842138512520922	0.211121831866327	0.364878522202269
Cell000018	resident	0.18999103144167	0.0382883029102825	0.164270808745084	0.215711254138256
Cell000019	resident	0.133385519946498	0.0432850088866804	0.0926988239907203	0.19677108160415
Cell000020	resident	0.207827658231672	0.046687267626764	0.176465418874414	0.23918989758893
Cell000021	resident	0.0696456096772479	0.0313530457277303	0.0279760321134947	0.108034204824236
Cell000022	resident	0.0452566262237996	0.017163284460883	0.0296231453096934	0.0793417197479989
Cell000023	resident	0.125190001214952	0.0230741981551556	0.0988907353968249	0.155846019882278
Cell000024	resident	0.188751037190274	0.0561812610636424	0.130356090832837	0.272299151215126
Cell000025	resident	0.0580544436573115	0.0284379133363952	0.0194632381151725	0.0862105825551966
Cell000026	resident	0.0702447012889817	0.0135958668829	0.056376722922057	0.0942370485975906
Cell000027	resident	0.0317170804147243	0.0202138520496063	0.0102988470202949	0.0535153224377423
Cell000028	resident	0.0147817589167417	0.00923623095746528	0.00619793657981852	0.0294748312226123
Cell000029	resident	0.157466654221445	0.0552926448557973	0.102077735150704	0.219123017960565
Cell000030	resident	0.0246409582716133	0.0256295095082101	0.00593991026495546	0.0721692171094733
Cell000031	resident	0.0638156698019057	0.0182729951894749	0.0417010465881546	0.0854746048658763
Cell000032	resident	0.108232061925844	0.0393781089642531	0.0742179078613415	0.168108854454974
Cell000033	resident	0.257041035412504	0.0434785623712703	0.194893569425469	0.32869985931989
Cell000034	resident	0.233048613934907	0.0802690542944498	0.114217040518196	0.294675282395341
Cell000035	resident	0.0818734438762178	0.0271724217404254	0.0594652999570366	0.109924163190981
Cell000036	resident	0.0248384611418	0.0140375068207494	0.0068375554703049	0.0382414045933407
Cell000037	resident	0.0281147326948878	0.0335112020401012	0.0101291097744019	0.0808632433109793
Cell000038	resident	0.0406983796486554	0.0332061757475074	0.0118579238644627	0.0884929290814925
Cell000039	resident	0.0898045493114905	0.0229055690091001	0.0640377689677805	0.12608378493013
Cell000040	resident	0.132549873877744	0.0201566620971911	0.119410977329967	0.154086838397997
Cell000001	inflammatory	0.0359583416458806	0.0329280564603343	0.0143803669792756	0.0872246130868021
