replicate	sample_id	state	composition
0	Donor001	resident	0.151912145352236
0	Donor001	inflammatory	0.186049384368805
0	Donor001	myofibroblast	0.101627808780064
0	Donor001	ECM-remodeling	0.255597976150234
0	Donor001	antigen-presenting	0.142647464543173
0	Donor001	IFN-stress	0.162165220805488
0	Donor002	resident	0.21640727247441
0	Donor002	inflammatory	0.194672045401162
0	Donor002	myofibroblast	0.181115852236029
0	Donor002	ECM-remodeling	0.117412523504807
0	Donor002	antigen-presenting	0.131257050016947
0	Donor002	IFN-stress	0.159135256366645
0	Donor003	resident	0.0768109239449345
0	Donor003	inflammatory	0.232240292050918
0	Donor003	myofibroblast	0.207068065680144
0	Donor003	ECM-remodeling	0.196308865383475
0	Donor003	antigen-presenting	0.131905871981677
0	Donor003	IFN-stress	0.155665980958851
0	Donor004	resident	0.106646784201053
0	Donor004	inflammatory	0.243230833303676
0	Donor004	myofibroblast	0.260786289558411
0	Donor004	ECM-remodeling	0.189330714680544
0	Donor004	antigen-presenting	0.0583321538541872
0	Donor004	IFN-stress	0.141673224402128
1	Donor001	resident	0.156060948170926
1	Donor001	inflammatory	0.203289062738091
1	Donor001	myofibroblast	0.113710643966237
1	Donor001	ECM-remodeling	0.197126430744128
1	Donor001	antigen-presenting	0.166253834067932
1	Donor001	IFN-stress	0.163559080312687
1	Donor002	resident	0.235953368347564
1	Donor002	inflammatory	0.192633873398227
1	Donor002	myofibroblast	0.185935579680308
1	Donor002	ECM-remodeling	0.145802125922413
1	Donor002	antigen-presenting	0.0856182793312841
1	Donor002	IFN-stress	0.154056773320204
1	Donor003	resident	0.0606160981748087
1	Donor003	inflammatory	0.182465840832521
1	Donor003	myofibroblast	0.300128222849098
1	Donor003	ECM-remodeling	0.159439400676655
1	Donor003	antigen-presenting	0.112652418637236
1	Donor003	IFN-stress	0.184698018829682
1	Donor004	resident	0.142725769744413
1	Donor004	inflammatory	0.245567769594831
1	Donor004	myofibroblast	0.166047906163007
1	Donor004	ECM-remodeling	0.296426976252923
1	Donor004	antigen-presenting	0.0510205767020024
1	Donor004	IFN-stress	0.0982110015428233
2	Donor001	resident	0.188440538838506
2	Donor001	inflammatory	0.148977911499933
2	Donor001	myofibroblast	0.113680168040122
2	Donor001	ECM-remodeling	0.231692546864942
2	Donor001	antigen-presenting	0.113576292821207
2	Donor001	IFN-stress	0.203632541935291
2	Donor002	resident	0.147013072257805
2	Donor002	inflammatory	0.189758179027316
2	Donor002	myofibroblast	0.187915541904358
