dataset	state	bootstrap_method	bootstrap_n	bootstrap_cells	bootstrap_genes	median_cell_z_sd	p90_cell_z_sd
GSE163973	resident	initializer	5	220	41	0.00793367184226327	0.0179682518074519
GSE163973	inflammatory	initializer	5	220	41	0.00205527713965433	0.0140098780365525
GSE163973	myofibroblast	initializer	5	220	41	0.00065586560205056	0.00305856986552187
GSE163973	ECM-remodeling	initializer	5	220	41	0.00352094249918685	0.0130175109784407
GSE163973	antigen-presenting	initializer	5	220	41	0.000333918504576193	0.00256438272129555
GSE163973	IFN-stress	initializer	5	220	41	0.000371636229662776	0.00222111895703016
GSE243716	resident	initializer	5	220	41	0.00136973829973386	0.00839756887841916
GSE243716	inflammatory	initializer	5	220	41	0.000254378125263532	0.00439215327432355
GSE243716	myofibroblast	initializer	5	220	41	0.000670373835203364	0.00634328348345249
GSE243716	ECM-remodeling	initializer	5	220	41	0.00225773359202377	0.0142723264070051
GSE243716	antigen-presenting	initializer	5	220	41	0.000137013776311267	0.00487526752263201
GSE243716	IFN-stress	initializer	5	220	41	0.000213759290190384	0.00318866406868846
