dataset	state	n_cells	fraction	median_max_weight	mean_max_weight	high_confidence_fraction	median_normalized_entropy	marker_log2_ratio_own_vs_other	n_marker_genes	marker_support_status	formal_ready	support_label	support_reason	bootstrap_method	bootstrap_n	bootstrap_cells	bootstrap_genes	median_cell_z_sd	p90_cell_z_sd	pathway	n_overlap	overlap_genes	q_value	nb_transfer_bootstrap_n	nb_transfer_eval_cells	nb_transfer_median_cell_z_sd	nb_transfer_p90_cell_z_sd	nb_transfer_max_cell_z_sd
GSE163973	ECM-remodeling	5520	0.410805983478455	0.650007502302072	0.676101889093345	0.454528985507246	0.420866401436674	3.24524265035318	10	supported	TRUE	supported	passes_thresholds	initializer	5	220	41	0.00352094249918685	0.0130175109784407	ECM_organization	8	COL3A1;COL1A1;SPARC;COL1A2;COL5A1;COL6A1;MMP2;POSTN	2.62249764768313e-18	5	120	0.0356542972950858	0.0614833655415815	0.0882900197781585
GSE163973	inflammatory	4478	0.333258911959515	0.585950343781687	0.591253559286498	0.297677534613667	0.602466567541367	0.560314792168102	7	supported	TRUE	supported	passes_thresholds	initializer	5	220	41	0.00205527713965433	0.0140098780365525	Cytokine_chemokine	2	CCL2;CXCL2	0.00103774247260472	5	120	0.0393983975276097	0.078890532568101	0.128307306421164
GSE163973	resident	3388	0.252139614497284	0.461733991008057	0.461759917400562	0.012396694214876	0.679445474090936	0.452523501561692	7	supported	FALSE	exploratory	low_high_confidence_fraction	initializer	5	220	41	0.00793367184226327	0.0179682518074519	Resident_matrix_homeostasis	4	DCN;PI16;FBLN2;FBLN1	1.17796203159014e-08	5	120	0.0521339488280565	0.0927664237809622	0.11674590244306
GSE163973	myofibroblast	24	0.00178611297164546	0.274625760216717	0.280772979036572	0	0.868380061876553	-1.04120374575209	7	weak	FALSE	exploratory	low_high_confidence_fraction;weak_marker_enrichment	initializer	5	220	41	0.00065586560205056	0.00305856986552187	ECM_organization	0		1	5	120	0.0240319919834075	0.0541071721419256	0.0944877465374281
GSE163973	antigen-presenting	21	0.00156284885018977	0.253895005232463	0.27156327141216	0	0.941059287494282	-0.625965554375161	5	weak	FALSE	exploratory	low_high_confidence_fraction;weak_marker_enrichment	initializer	5	220	41	0.000333918504576193	0.00256438272129555	ECM_organization	0		1	5	120	0.0462417284996134	0.0944901621861773	0.167472003738062
GSE163973	IFN-stress	6	0.000446528242911364	0.25470640661355	0.276656642028366	0	0.907264414611827	-1.73895921134601	5	weak	FALSE	exploratory	low_cell_count;low_high_confidence_fraction;weak_marker_enrichment	initializer	5	220	41	0.000371636229662776	0.00222111895703016	ECM_organization	0		1	5	120	0.0280205389023502	0.0683775138719898	0.107056319078328
GSE243716	ECM-remodeling	206	0.358260869565217	0.99714109807768	0.877675030286715	0.825242718446602	0.012566531034826	5.43434185449976	10	supported	TRUE	supported	passes_thresholds	initializer	5	220	41	0.00225773359202377	0.0142723264070051	ECM_organization	6	COL1A1;COL1A2;COL3A1;FN1;POSTN;LOX	6.89671757917034e-05	5	120	0.0255393602123851	0.0715763610063502	0.323518353194473
GSE243716	antigen-presenting	174	0.302608695652174	0.812968720073874	0.775133647317416	0.706896551724138	0.328591283537409	4.88372271618014	5	supported	TRUE	supported	passes_thresholds	initializer	5	220	41	0.000137013776311267	0.00487526752263201	Antigen_presentation	5	CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	3.31103374918474e-05	5	120	0.025313813427813	0.0965487448298661	0.416132327037356
GSE243716	myofibroblast	126	0.219130434782609	0.811091241037368	0.791768445267257	0.801587301587302	0.333189211243182	0.89912263620619	7	supported	TRUE	supported	passes_thresholds	initializer	5	220	41	0.000670373835203364	0.00634328348345249	TGF_beta_contractile	4	MYL9;ACTA2;TPM2;TAGLN	0.00066818500521742	5	120	0.0116471134714335	0.0632827231619942	0.259665694374277
GSE243716	IFN-stress	38	0.0660869565217391	0.555987063206015	0.610877317070464	0.236842105263158	0.506801952829771	0.585172101251591	5	supported	TRUE	supported	passes_thresholds	initializer	5	220	41	0.000213759290190384	0.00318866406868846	ECM_organization	0		1	5	120	0.00632996669238391	0.0968691058902433	0.378820384589617
GSE243716	resident	23	0.04	0.584153310265531	0.631801625969281	0.347826086956522	0.470959636449453	0.220695107341183	7	weak	FALSE	exploratory	weak_marker_enrichment	initializer	5	220	41	0.00136973829973386	0.00839756887841916	ECM_organization	1	TIMP1	1	5	120	0.0276162472992855	0.103413581747344	0.233268726283228
GSE243716	inflammatory	8	0.0139130434782609	0.642205383199936	0.626218713925538	0.125	0.484120355912476	1.38305639398741	7	supported	FALSE	exploratory	low_cell_count;low_high_confidence_fraction	initializer	5	220	41	0.000254378125263532	0.00439215327432355	ECM_organization	0		1	5	120	0.0325355767092807	0.120569641934732	0.291947057920589
