state	gene	rank	spearman_rho	dataset
resident	DCN	1	0.746679944361519	GSE163973
resident	CFD	2	0.67768640190163	GSE163973
resident	PLAC9	3	0.633364523535047	GSE163973
resident	PI16	4	0.609758696766491	GSE163973
resident	CD81	5	0.595094986610292	GSE163973
resident	CST3	6	0.582110940125334	GSE163973
resident	FGL2	7	0.57875274457226	GSE163973
resident	FCGRT	8	0.549887956620065	GSE163973
resident	GSN	9	0.529006085711271	GSE163973
resident	S100A10	10	0.525395578830243	GSE163973
resident	CLEC3B	11	0.525350584982907	GSE163973
resident	CXCL14	12	0.521542327689583	GSE163973
resident	TNXB	13	0.520894887243906	GSE163973
resident	CYBRD1	14	0.505615873318167	GSE163973
resident	FAM180B	15	0.498947233960868	GSE163973
resident	FBLN2	16	0.49521128716585	GSE163973
resident	CD34	17	0.488108473382448	GSE163973
resident	FBLN1	18	0.478495479245811	GSE163973
resident	APOD	19	0.473976376025841	GSE163973
resident	LGALS3	20	0.462099834824296	GSE163973
resident	ARL6IP5	21	0.45969295524102	GSE163973
resident	ITIH5	22	0.457009425748061	GSE163973
resident	SOD3	23	0.45228790377233	GSE163973
resident	SLPI	24	0.451540080889023	GSE163973
resident	TIMP3	25	0.448082839652991	GSE163973
resident	HLA-C	26	0.448063635733797	GSE163973
resident	PDGFRL	27	0.446279882145107	GSE163973
resident	PMP22	28	0.436524645179028	GSE163973
resident	ANXA2	29	0.435988146336549	GSE163973
resident	C1R	30	0.428142427063223	GSE163973
resident	MATN4	31	0.4271960889143	GSE163973
resident	SELENOP	32	0.424809041808137	GSE163973
resident	PLPP3	33	0.42250962909348	GSE163973
resident	CTSF	34	0.420008836434315	GSE163973
resident	CYB5R3	35	0.416163537335365	GSE163973
resident	MGP	36	0.412280427467805	GSE163973
resident	CD9	37	0.407730616130846	GSE163973
resident	TSPAN4	38	0.406615580872806	GSE163973
resident	IGFBP5	39	0.40549819212671	GSE163973
resident	LRRN4CL	40	0.402301014035351	GSE163973
inflammatory	PNRC1	1	0.691698435329929	GSE163973
inflammatory	NFKBIA	2	0.687140227016121	GSE163973
inflammatory	CDKN1A	3	0.650003226838259	GSE163973
inflammatory	SOCS3	4	0.649062103350953	GSE163973
inflammatory	MYC	5	0.641762575516345	GSE163973
inflammatory	BTG1	6	0.625225856626429	GSE163973
inflammatory	EIF1	7	0.621296811554898	GSE163973
inflammatory	IRF1	8	0.618071975165147	GSE163973
inflammatory	GEM	9	0.613760310270414	GSE163973
inflammatory	ZFAS1	10	0.597752663956055	GSE163973
inflammatory	C11orf96	11	0.58681982379767	GSE163973
inflammatory	NAMPT	12	0.581781535202439	GSE163973
inflammatory	CEBPD	13	0.581490610698024	GSE163973
inflammatory	DDX5	14	0.575412868450388	GSE163973
inflammatory	HLA-E	15	0.567529891567866	GSE163973
inflammatory	CCL2	16	0.566190324239483	GSE163973
inflammatory	SOD2	17	0.565103937416411	GSE163973
inflammatory	ZFP36L1	18	0.563909582999202	GSE163973
inflammatory	CEBPB	19	0.561304750011737	GSE163973
inflammatory	IER3	20	0.555671214297976	GSE163973
inflammatory	H3F3B	21	0.553327263233164	GSE163973
inflammatory	EIF4A3	22	0.551661762607276	GSE163973
inflammatory	EEF1A1	23	0.546435403564726	GSE163973
inflammatory	HNRNPA1	24	0.545065307976486	GSE163973
inflammatory	RPS8	25	0.543486286998253	GSE163973
inflammatory	MAFF	26	0.542450470593839	GSE163973
inflammatory	JUNB	27	0.540020413176518	GSE163973
inflammatory	RPL3	28	0.535436466525205	GSE163973
inflammatory	CXCL3	29	0.534160703954377	GSE163973
inflammatory	APOE	30	0.530352341914027	GSE163973
inflammatory	RPS9	31	0.528932675917409	GSE163973
inflammatory	VIM	32	0.525062930376793	GSE163973
inflammatory	DNAJA1	33	0.52122983516499	GSE163973
inflammatory	RPS13	34	0.521095872683378	GSE163973
inflammatory	CXCL2	35	0.519914579118093	GSE163973
inflammatory	ZFP36L2	36	0.519710048859177	GSE163973
inflammatory	ICAM1	37	0.515392657763069	GSE163973
inflammatory	RPL18	38	0.507420812845135	GSE163973
inflammatory	PPP1R15A	39	0.501552325604719	GSE163973
inflammatory	RPL23	40	0.501049996643797	GSE163973
myofibroblast	RPS18	1	0.658958079506285	GSE163973
myofibroblast	RPS14	2	0.657256350085846	GSE163973
myofibroblast	RPS23	3	0.652851507156296	GSE163973
myofibroblast	RPL32	4	0.639645590640779	GSE163973
myofibroblast	RPL10A	5	0.627980785785839	GSE163973
myofibroblast	RPS4X	6	0.627082321414306	GSE163973
myofibroblast	RPL29	7	0.626692170742262	GSE163973
myofibroblast	RPL12	8	0.622432814686785	GSE163973
myofibroblast	RPL30	9	0.6205964906103	GSE163973
myofibroblast	RPS2	10	0.617269025632455	GSE163973
myofibroblast	RPL7A	11	0.61193830864216	GSE163973
myofibroblast	RPL11	12	0.606446449947097	GSE163973
myofibroblast	RPL18	13	0.603719841573431	GSE163973
myofibroblast	RPL15	14	0.602554929524125	GSE163973
myofibroblast	RPS6	15	0.595709340289524	GSE163973
myofibroblast	RPL19	16	0.59268833428542	GSE163973
myofibroblast	RPL13	17	0.591055333853935	GSE163973
myofibroblast	RPL3	18	0.589630187402077	GSE163973
myofibroblast	RPL5	19	0.587398956524286	GSE163973
myofibroblast	RPS15	20	0.577118447363335	GSE163973
myofibroblast	RPS3	21	0.575091747712316	GSE163973
myofibroblast	RPL26	22	0.573578075303377	GSE163973
myofibroblast	RPS24	23	0.573101270458917	GSE163973
