heldout_donor_id	state	transferred_composition
Human1	resident	0.111050614226998
Human1	inflammatory	0.0616805113041966
Human1	myofibroblast	0.263855110315115
Human1	ECM-remodeling	0.460668924998475
Human1	antigen-presenting	0.0503993932530159
Human1	IFN-stress	0.0523454459022002
Human2	resident	0.107951915571466
Human2	inflammatory	0.0741995417456944
Human2	myofibroblast	0.329076069870347
Human2	ECM-remodeling	0.359675644866826
Human2	antigen-presenting	0.0984201486740432
Human2	IFN-stress	0.0306766792716235
Human3	resident	0.131924559988858
Human3	inflammatory	0.0887084605648363
Human3	myofibroblast	0.170230676474213
Human3	ECM-remodeling	0.434758929202478
Human3	antigen-presenting	0.0952213525522458
Human3	IFN-stress	0.0791560212173679
