sensitivity_mode	tissue	state	composition_mean	composition_sd	composition_min	composition_max	n_runs
library_trim_q95	Gastric cancer (GC)	antigen-presenting	0.121004429834936	0.00246440364978591	0.119261833302591	0.12274702636728	2
library_trim_q95	Gastric cancer (GC)	ECM-remodeling	0.301143989460569	0.0260775528904231	0.282704374975	0.319583603946138	2
library_trim_q95	Gastric cancer (GC)	IFN-stress	0.0689693953329833	0.0337751127953728	0.0450867840400346	0.0928520066259319	2
library_trim_q95	Gastric cancer (GC)	inflammatory	0.0767853470360892	0.00159281089830655	0.0756590596487488	0.0779116344234296	2
library_trim_q95	Gastric cancer (GC)	myofibroblast	0.247210223757337	0.00639279829551153	0.242689832731823	0.251730614782851	2
library_trim_q95	Gastric cancer (GC)	resident	0.184886614578086	0.00536197615753133	0.181095124876535	0.188678104279637	2
library_trim_q95	Hepatocellular carcinoma (HCC)	antigen-presenting	0.00668696630236308	0.00422689358760197	0.00369810118321579	0.00967583142151037	2
library_trim_q95	Hepatocellular carcinoma (HCC)	ECM-remodeling	0.015918205761212	0.00372871281878093	0.0132816076419548	0.0185548038804692	2
library_trim_q95	Hepatocellular carcinoma (HCC)	IFN-stress	0.0147840562901858	0.00104353937170316	0.0140461625240193	0.0155219500563522	2
library_trim_q95	Hepatocellular carcinoma (HCC)	inflammatory	0.00585153379328226	0.000152583398739498	0.00574364103733707	0.00595942654922745	2
library_trim_q95	Hepatocellular carcinoma (HCC)	myofibroblast	0.886083608620613	0.0242014867115873	0.868970573252054	0.903196643989173	2
library_trim_q95	Hepatocellular carcinoma (HCC)	resident	0.0706756292323433	0.0333532158884128	0.0470913441032677	0.0942599143614189	2
library_trim_q95	Non-small-cell lung cancer (NSCLC)	antigen-presenting	0.0148629574676643	0.000131284084263872	0.0147701256014195	0.0149557893339092	2
library_trim_q95	Non-small-cell lung cancer (NSCLC)	ECM-remodeling	0.715794393154444	0.0385504652685872	0.68853509774513	0.743053688563759	2
library_trim_q95	Non-small-cell lung cancer (NSCLC)	IFN-stress	0.0374085657736827	0.00418913767339324	0.0344463981175023	0.0403707334298631	2
library_trim_q95	Non-small-cell lung cancer (NSCLC)	inflammatory	0.0730826636187258	0.0227733140471554	0.0569794988258914	0.0891858284115603	2
library_trim_q95	Non-small-cell lung cancer (NSCLC)	myofibroblast	0.103850211351706	0.0147553594936026	0.0934165965949346	0.114283826108478	2
library_trim_q95	Non-small-cell lung cancer (NSCLC)	resident	0.0550012086337762	0.00534221348548625	0.0512236932516427	0.0587787240159098	2
library_trim_q95	Triple-negative breast cancer (TNBC)	antigen-presenting	0.0567535210104065	0.00217400258157989	0.0552162690426543	0.0582907729781587	2
library_trim_q95	Triple-negative breast cancer (TNBC)	ECM-remodeling	0.221742159388038	0.00575734577923598	0.217671101145905	0.225813217630172	2
library_trim_q95	Triple-negative breast cancer (TNBC)	IFN-stress	0.0863895646060597	0.0191404457149144	0.0728552256461107	0.0999239035660087	2
library_trim_q95	Triple-negative breast cancer (TNBC)	inflammatory	0.146808473079612	0.0419683040172541	0.117132400714113	0.176484545445111	2
library_trim_q95	Triple-negative breast cancer (TNBC)	myofibroblast	0.280413486596332	0.00410403274228946	0.277511497214048	0.283315475978617	2
library_trim_q95	Triple-negative breast cancer (TNBC)	resident	0.20789279531955	0.0190005426838143	0.194457382741601	0.2213282078975	2
raw_sample	Gastric cancer (GC)	antigen-presenting	0.123884405979279	0.00313145548029165	0.121670132574181	0.126098679384377	2
raw_sample	Gastric cancer (GC)	ECM-remodeling	0.306620096510486	0.0160219915582087	0.295290837631563	0.317949355389409	2
raw_sample	Gastric cancer (GC)	IFN-stress	0.073861631954964	0.00341148454705251	0.0714493480978301	0.076273915812098	2
raw_sample	Gastric cancer (GC)	inflammatory	0.0760618417951038	0.00300838295603157	0.0739345938064879	0.0781890897837198	2
raw_sample	Gastric cancer (GC)	myofibroblast	0.20652240571659	0.0178562978567843	0.193896096415171	0.219148715018009	2
raw_sample	Gastric cancer (GC)	resident	0.213049618043577	0.0243269664316171	0.195847855114083	0.230251380973071	2
raw_sample	Hepatocellular carcinoma (HCC)	antigen-presenting	0.00766658703470556	0.00138110522460483	0.00668999816485531	0.0086431759045558	2
raw_sample	Hepatocellular carcinoma (HCC)	ECM-remodeling	0.0144873281424109	0.00024943751865748	0.0143109491814858	0.0146637071033359	2
raw_sample	Hepatocellular carcinoma (HCC)	IFN-stress	0.0120313419528118	0.00129376124263586	0.0111165146049076	0.0129461693007159	2
raw_sample	Hepatocellular carcinoma (HCC)	inflammatory	0.010516367988774	0.00283192724410143	0.00851389303064299	0.0125188429469051	2
raw_sample	Hepatocellular carcinoma (HCC)	myofibroblast	0.918172260612257	0.0212217548992875	0.903166213814292	0.933178307410222	2
raw_sample	Hepatocellular carcinoma (HCC)	resident	0.0371261142690411	0.0243904636440153	0.0198794520300739	0.0543727765080082	2
raw_sample	Non-small-cell lung cancer (NSCLC)	antigen-presenting	0.0116397933799566	0.00456184729399921	0.00841408022363221	0.0148655065362809	2
raw_sample	Non-small-cell lung cancer (NSCLC)	ECM-remodeling	0.676847773798702	0.00625767674590251	0.672422928137201	0.681272619460203	2
raw_sample	Non-small-cell lung cancer (NSCLC)	IFN-stress	0.0693360862127586	0.0250568484298684	0.0516182187728352	0.0870539536526821	2
raw_sample	Non-small-cell lung cancer (NSCLC)	inflammatory	0.0774542411831668	0.0275166528349766	0.0579970293679988	0.0969114529983348	2
raw_sample	Non-small-cell lung cancer (NSCLC)	myofibroblast	0.11876796023824	0.00740061906559051	0.113534932311983	0.124000988164498	2
raw_sample	Non-small-cell lung cancer (NSCLC)	resident	0.0459541451871755	0.0157603387003841	0.0348099028183371	0.0570983875560138	2
raw_sample	Triple-negative breast cancer (TNBC)	antigen-presenting	0.0521902487330406	0.0133923508293639	0.0427204266455681	0.0616600708205131	2
raw_sample	Triple-negative breast cancer (TNBC)	ECM-remodeling	0.243955275625359	0.018064187418833	0.231181966204877	0.25672858504584	2
raw_sample	Triple-negative breast cancer (TNBC)	IFN-stress	0.0873437552060307	0.0113622972839184	0.0793093977467145	0.0953781126653469	2
raw_sample	Triple-negative breast cancer (TNBC)	inflammatory	0.154147194516045	0.0104353393873885	0.14676829527124	0.161526093760851	2
raw_sample	Triple-negative breast cancer (TNBC)	myofibroblast	0.197881375294014	0.00726844214966607	0.192741810561323	0.203020940026705	2
raw_sample	Triple-negative breast cancer (TNBC)	resident	0.264482150625511	0.0251150539950597	0.246723125635738	0.282241175615284	2
