dataset_id	study_id	donor_id	condition	organism	tissue	state	composition	mean_entropy	sensitivity_mode	seed
gse246215_gc_raw_sample_seed246215	GSE246215_GC_raw_sample	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	resident	0.230251380973071	1.18033909657105	raw_sample	246215
gse246215_gc_raw_sample_seed246215	GSE246215_GC_raw_sample	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	inflammatory	0.0781890897837198	1.18033909657105	raw_sample	246215
gse246215_gc_raw_sample_seed246215	GSE246215_GC_raw_sample	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	myofibroblast	0.193896096415171	1.18033909657105	raw_sample	246215
gse246215_gc_raw_sample_seed246215	GSE246215_GC_raw_sample	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	ECM-remodeling	0.295290837631563	1.18033909657105	raw_sample	246215
gse246215_gc_raw_sample_seed246215	GSE246215_GC_raw_sample	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	antigen-presenting	0.126098679384377	1.18033909657105	raw_sample	246215
gse246215_gc_raw_sample_seed246215	GSE246215_GC_raw_sample	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	IFN-stress	0.076273915812098	1.18033909657105	raw_sample	246215
gse246215_hcc_raw_sample_seed246215	GSE246215_HCC_raw_sample	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	resident	0.0543727765080082	0.269704909767622	raw_sample	246215
gse246215_hcc_raw_sample_seed246215	GSE246215_HCC_raw_sample	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	inflammatory	0.00851389303064299	0.269704909767622	raw_sample	246215
gse246215_hcc_raw_sample_seed246215	GSE246215_HCC_raw_sample	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	myofibroblast	0.903166213814292	0.269704909767622	raw_sample	246215
gse246215_hcc_raw_sample_seed246215	GSE246215_HCC_raw_sample	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	ECM-remodeling	0.0143109491814858	0.269704909767622	raw_sample	246215
gse246215_hcc_raw_sample_seed246215	GSE246215_HCC_raw_sample	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	antigen-presenting	0.00668999816485531	0.269704909767622	raw_sample	246215
