dataset	replicate	n_train_cells	n_eval_cells	n_genes	nb_objective	z_convergence_rate	n_nonconverged_cells	train_best_objective	train_stop_reason
GSE163973	1	140	120	471	2.71641867403543	1	0	2.67521424749516	max_iterations
GSE163973	2	140	120	471	2.74445413767324	0.991666666666667	1	2.64110464762843	max_iterations
GSE163973	3	140	120	471	2.7305433023313	0.991666666666667	1	2.69420069914289	max_iterations
GSE163973	4	140	120	471	2.72386293929036	0.991666666666667	1	2.68310432389054	max_iterations
GSE163973	5	140	120	471	2.72554285660357	0.991666666666667	1	2.7565881343109	max_iterations
GSE243716	1	140	120	453	0.96077221316664	0.958333333333333	5	0.920814120665657	max_iterations
GSE243716	2	140	120	453	1.12286851385279	0.933333333333333	8	0.901160796625771	max_iterations
GSE243716	3	140	120	453	0.959696134459738	0.95	6	0.896900846961147	max_iterations
GSE243716	4	140	120	453	1.03825870789849	0.966666666666667	4	0.948254110999093	max_iterations
GSE243716	5	140	120	453	1.03066378088889	0.916666666666667	10	0.91597153478234	max_iterations
