dataset	state	bootstrap_method	bootstrap_n	n_eval_cells	median_cell_z_sd	p90_cell_z_sd	max_cell_z_sd
GSE163973	resident	nb_fit_plus_transfer	5	120	0.0521339488280565	0.0927664237809622	0.11674590244306
GSE163973	inflammatory	nb_fit_plus_transfer	5	120	0.0393983975276097	0.078890532568101	0.128307306421164
GSE163973	myofibroblast	nb_fit_plus_transfer	5	120	0.0240319919834075	0.0541071721419256	0.0944877465374281
GSE163973	ECM-remodeling	nb_fit_plus_transfer	5	120	0.0356542972950858	0.0614833655415815	0.0882900197781585
GSE163973	antigen-presenting	nb_fit_plus_transfer	5	120	0.0462417284996134	0.0944901621861773	0.167472003738062
GSE163973	IFN-stress	nb_fit_plus_transfer	5	120	0.0280205389023502	0.0683775138719898	0.107056319078328
GSE243716	resident	nb_fit_plus_transfer	5	120	0.0276162472992855	0.103413581747344	0.233268726283228
GSE243716	inflammatory	nb_fit_plus_transfer	5	120	0.0325355767092807	0.120569641934732	0.291947057920589
GSE243716	myofibroblast	nb_fit_plus_transfer	5	120	0.0116471134714335	0.0632827231619942	0.259665694374277
GSE243716	ECM-remodeling	nb_fit_plus_transfer	5	120	0.0255393602123851	0.0715763610063502	0.323518353194473
GSE243716	antigen-presenting	nb_fit_plus_transfer	5	120	0.025313813427813	0.0965487448298661	0.416132327037356
GSE243716	IFN-stress	nb_fit_plus_transfer	5	120	0.00632996669238391	0.0968691058902433	0.378820384589617
