function_name	source_file	man_page	has_man_page
evaluate_marker_recovery	R/benchmark_metrics.R	man/evaluate_marker_recovery.Rd	TRUE
evaluate_fibrodynmix_annotation	R/annotation_confidence.R	man/evaluate_fibrodynmix_annotation.Rd	TRUE
evaluate_posterior_intervals	R/vi_posterior.R	man/evaluate_posterior_intervals.Rd	TRUE
evaluate_state_weights	R/benchmark_metrics.R	man/evaluate_state_weights.Rd	TRUE
evaluate_downstream_classification	R/benchmark_metrics.R	man/evaluate_downstream_classification.Rd	TRUE
evaluate_transition_detection	R/benchmark_metrics.R	man/evaluate_transition_detection.Rd	TRUE
evaluate_dominant_state_coverage	R/benchmark_metrics.R	man/evaluate_dominant_state_coverage.Rd	TRUE
add_fibrodynmix_to_seurat	R/seurat_interface.R	man/add_fibrodynmix_to_seurat.Rd	TRUE
compute_fpi	R/transition_flow.R	man/compute_fpi.Rd	TRUE
compute_state_cost	R/transition_flow.R	man/compute_state_cost.Rd	TRUE
calibrate_posterior_interval_scale	R/vi_posterior.R	man/calibrate_posterior_interval_scale.Rd	TRUE
estimate_transition_flow	R/transition_flow.R	man/estimate_transition_flow.Rd	TRUE
fibrodynmix_nb_deviance	R/nb_likelihood.R	man/fibrodynmix_nb_deviance.Rd	TRUE
fibrodynmix_nb_loglik	R/nb_likelihood.R	man/fibrodynmix_nb_loglik.Rd	TRUE
fibrodynmix_nb_objective	R/nb_likelihood.R	man/fibrodynmix_nb_objective.Rd	TRUE
fit_fibrodynmix_nb	R/fit_nb_model.R	man/fit_fibrodynmix_nb.Rd	TRUE
fit_fibrodynmix_initializer	R/fibrodynmix_initializer.R	man/fit_fibrodynmix_initializer.Rd	TRUE
fit_fibrodynmix_prepared	R/real_data_interface.R	man/fit_fibrodynmix_prepared.Rd	TRUE
fit_fibrodynmix_seurat	R/seurat_interface.R	man/fit_fibrodynmix_seurat.Rd	TRUE
fit_fibrodynmix_transfer	R/cross_cohort_transfer.R	man/fit_fibrodynmix_transfer.Rd	TRUE
fit_fibrodynmix_vi	R/vi_posterior.R	man/fit_fibrodynmix_vi.Rd	TRUE
fit_scvi_latent_baseline	R/scvi_baseline.R	man/fit_scvi_latent_baseline.Rd	TRUE
fit_topic_nmf_baseline	R/topic_nmf_baseline.R	man/fit_topic_nmf_baseline.Rd	TRUE
get_fibrodynmix_markers	R/marker_sets.R	man/get_fibrodynmix_markers.Rd	TRUE
bootstrap_fibrodynmix	R/bootstrap_uncertainty.R	man/bootstrap_fibrodynmix.Rd	TRUE
prepare_fibrodynmix_data	R/real_data_interface.R	man/prepare_fibrodynmix_data.Rd	TRUE
prepare_fibrodynmix_seurat	R/seurat_interface.R	man/prepare_fibrodynmix_seurat.Rd	TRUE
plot_benchmark_rankings	R/visualization.R	man/plot_benchmark_rankings.Rd	TRUE
plot_cell_state_heatmap	R/visualization.R	man/plot_cell_state_heatmap.Rd	TRUE
plot_fibroblast_annotation	R/visualization.R	man/plot_fibroblast_annotation.Rd	TRUE
plot_fibroblast_marker_dot	R/visualization.R	man/plot_fibroblast_marker_dot.Rd	TRUE
plot_fpi_distribution	R/visualization.R	man/plot_fpi_distribution.Rd	TRUE
plot_pathway_enrichment	R/visualization.R	man/plot_pathway_enrichment.Rd	TRUE
plot_marker_support	R/visualization.R	man/plot_marker_support.Rd	TRUE
plot_cluster_state_agreement	R/visualization.R	man/plot_cluster_state_agreement.Rd	TRUE
plot_purity_qc	R/visualization.R	man/plot_purity_qc.Rd	TRUE
plot_state_composition	R/visualization.R	man/plot_state_composition.Rd	TRUE
plot_transfer_diagnostics	R/visualization.R	man/plot_transfer_diagnostics.Rd	TRUE
plot_transition_flow	R/visualization.R	man/plot_transition_flow.Rd	TRUE
run_cross_cohort_transfer_benchmark	R/cross_cohort_transfer.R	man/run_cross_cohort_transfer_benchmark.Rd	TRUE
run_fibrodynmix_seurat_workflow	R/seurat_interface.R	man/run_fibrodynmix_seurat_workflow.Rd	TRUE
run_marker_scoring_benchmark	R/baseline_marker_scoring.R	man/run_marker_scoring_benchmark.Rd	TRUE
run_simulation_benchmark	R/simulation_benchmark.R	man/run_simulation_benchmark.Rd	TRUE
run_study_effect_sensitivity	R/study_effect_sensitivity.R	man/run_study_effect_sensitivity.Rd	TRUE
score_marker_baseline	R/baseline_marker_scoring.R	man/score_marker_baseline.Rd	TRUE
select_fibrodynmix_nb_model	R/nb_model_selection.R	man/select_fibrodynmix_nb_model.Rd	TRUE
select_study_effect_penalty	R/study_effect_sensitivity.R	man/select_study_effect_penalty.Rd	TRUE
summarize_bootstrap_uncertainty	R/bootstrap_uncertainty.R	man/summarize_bootstrap_uncertainty.Rd	TRUE
simulate_fibrodynmix	R/simulate_fibrodynmix.R	man/simulate_fibrodynmix.Rd	TRUE
summarize_benchmark_results	R/simulation_benchmark.R	man/summarize_benchmark_results.Rd	TRUE
summarize_optimizer_diagnostics	R/simulation_benchmark.R	man/summarize_optimizer_diagnostics.Rd	TRUE
