train_condition	heldout_condition	source	state	composition
disease	normal	transferred_heldout	resident	0.471217527006275
disease	normal	transferred_heldout	inflammatory	0.199988815735549
disease	normal	transferred_heldout	myofibroblast	0.149929006963856
disease	normal	transferred_heldout	ECM-remodeling	0.0170210879367824
disease	normal	transferred_heldout	antigen-presenting	0.0641254635665951
disease	normal	transferred_heldout	IFN-stress	0.0977180987909432
disease	normal	training_fit	resident	0.205827488001496
disease	normal	training_fit	inflammatory	0.0764225963392261
disease	normal	training_fit	myofibroblast	0.247724291525736
disease	normal	training_fit	ECM-remodeling	0.391579230672967
disease	normal	training_fit	antigen-presenting	0.0471375642700079
disease	normal	training_fit	IFN-stress	0.0313088291905674
normal	disease	transferred_heldout	resident	0.463796925642194
normal	disease	transferred_heldout	inflammatory	0.172281477546962
normal	disease	transferred_heldout	myofibroblast	0.0838585790418631
normal	disease	transferred_heldout	ECM-remodeling	0.270589361754741
normal	disease	transferred_heldout	antigen-presenting	0.00128968590967339
normal	disease	transferred_heldout	IFN-stress	0.00818397010456657
normal	disease	training_fit	resident	0.376952878718337
normal	disease	training_fit	inflammatory	0.198831073050621
normal	disease	training_fit	myofibroblast	0.0368353198615591
normal	disease	training_fit	ECM-remodeling	0.300086201433296
normal	disease	training_fit	antigen-presenting	0.0262557982077087
normal	disease	training_fit	IFN-stress	0.0610387287284781
