document	n_lines	has_claim_boundary	mentions_outputs
docs/bioinformatics-validation.md	66	TRUE	TRUE
docs/core-converged-method-benchmark.md	98	TRUE	TRUE
docs/cross-cohort-transfer.md	39	TRUE	TRUE
docs/downstream-task-benchmark.md	112	TRUE	TRUE
docs/engineering-quality-gates.md	38	FALSE	TRUE
docs/extended-method-benchmark.md	104	TRUE	TRUE
docs/figure1-architecture-evidence-map.md	49	TRUE	FALSE
docs/figure2-public-realdata-demonstration.md	56	TRUE	FALSE
docs/figure3-redesign-isci-commbio.md	91	TRUE	TRUE
docs/figure4-study-effect-calibration.md	46	TRUE	FALSE
docs/figure5-bootstrap-uncertainty.md	43	TRUE	FALSE
docs/figure6-transition-flow-fpi.md	56	TRUE	TRUE
docs/gse167339-donor-robustness.md	59	TRUE	TRUE
docs/gse246215-downstream-benchmark.md	120	TRUE	TRUE
docs/gse246215-sensitivity.md	60	TRUE	TRUE
docs/independent-geo-gse167339-validation.md	89	TRUE	TRUE
docs/independent-geo-gse246215-validation.md	134	TRUE	TRUE
docs/manuscript-draft-isci-commbio.md	394	FALSE	TRUE
docs/manuscript-skeleton-isci-commbio.md	254	TRUE	TRUE
docs/marker-stress-benchmark.md	71	TRUE	TRUE
docs/model-and-simulation-spec.md	246	FALSE	FALSE
docs/multi-public-realdata-validation.md	71	TRUE	TRUE
docs/nb-convergence-benchmark.md	108	TRUE	TRUE
docs/package-function-index.md	83	FALSE	FALSE
docs/package-runtime-lock.md	172	TRUE	TRUE
docs/public-realdata-smoke-figure.md	37	TRUE	TRUE
docs/public-realdata-smoke.md	113	TRUE	TRUE
docs/public-realdata-transfer.md	48	TRUE	TRUE
docs/reproducibility-runbook.md	128	TRUE	TRUE
docs/reviewer-risk-matrix.md	33	TRUE	TRUE
docs/submission-readiness-isci-commbio.md	183	FALSE	TRUE
docs/vi-posterior.md	65	TRUE	TRUE
docs/visualization-api.md	69	FALSE	TRUE
