script	language	n_lines	has_usage_args	sources_package_r	writes_analysis_output
scripts/check_project_integrity.R	R	658	TRUE	FALSE	FALSE
scripts/export_h5ad_to_fibrodynmix_inputs.py	py	85	TRUE	FALSE	FALSE
scripts/make_figure1.R	R	303	TRUE	FALSE	TRUE
scripts/make_figure2.R	R	276	TRUE	FALSE	TRUE
scripts/make_figure3.R	R	395	TRUE	TRUE	TRUE
scripts/make_figure4.R	R	252	TRUE	TRUE	TRUE
scripts/make_figure5.R	R	231	TRUE	TRUE	TRUE
scripts/make_figure6.R	R	220	TRUE	TRUE	TRUE
scripts/make_public_realdata_smoke_figure.R	R	244	TRUE	FALSE	TRUE
scripts/prepare_gse167339_human_fibroblast_inputs.R	R	261	TRUE	FALSE	TRUE
scripts/prepare_gse246215_fibroblast_inputs.R	R	134	TRUE	FALSE	TRUE
scripts/run_bioinformatics_validation.R	R	273	TRUE	FALSE	TRUE
scripts/run_bootstrap_uncertainty.R	R	52	TRUE	TRUE	TRUE
scripts/run_core_converged_method_benchmark.R	R	277	TRUE	TRUE	TRUE
scripts/run_cross_cohort_transfer.R	R	63	TRUE	TRUE	TRUE
scripts/run_extended_method_benchmark.R	R	144	TRUE	TRUE	TRUE
scripts/run_formal_realdata_evidence.R	R	239	FALSE	FALSE	TRUE
scripts/run_gse167339_donor_robustness.R	R	342	TRUE	TRUE	TRUE
scripts/run_gse246215_downstream_benchmark.R	R	302	TRUE	TRUE	TRUE
scripts/run_gse246215_sensitivity.R	R	261	TRUE	FALSE	TRUE
scripts/run_marker_stress_benchmark.R	R	367	TRUE	TRUE	TRUE
scripts/run_multi_public_realdata_validation.R	R	431	TRUE	TRUE	TRUE
scripts/run_nb_convergence_benchmark.R	R	335	TRUE	TRUE	TRUE
scripts/run_nb_transfer_bootstrap_realdata.R	R	203	FALSE	FALSE	TRUE
scripts/run_project_maturity_audit.R	R	284	TRUE	FALSE	TRUE
scripts/run_public_realdata_smoke.R	R	159	TRUE	FALSE	TRUE
scripts/run_public_realdata_transfer.R	R	300	TRUE	TRUE	TRUE
scripts/run_realdata_smoke.R	R	342	TRUE	TRUE	TRUE
scripts/run_reproducibility_audit.R	R	227	TRUE	TRUE	TRUE
scripts/run_runtime_lock.R	R	313	TRUE	FALSE	TRUE
scripts/run_sparse_performance_benchmark.R	R	102	FALSE	FALSE	TRUE
scripts/run_study_sensitivity.R	R	79	TRUE	TRUE	TRUE
scripts/run_systematic_method_benchmark.R	R	48	FALSE	FALSE	TRUE
scripts/run_transition_flow.R	R	53	TRUE	TRUE	TRUE
scripts/run_vi_benchmark.R	R	90	TRUE	TRUE	TRUE
scripts/run_vi_posterior.R	R	104	TRUE	TRUE	TRUE
