study_l2	marker_l2	n_replicates	rmse_mean	rmse_sd	dominant_accuracy_mean	nb_best_objective_mean	study_effect_l2_norm_mean	study_effect_mean_abs_mean	rollback_rate	within_rmse_tolerance	within_objective_tolerance	rmse_scaled	objective_scaled	study_effect_scaled	rollback_scaled	selection_score
5	0.05	2	0.189189068029762	0.00295201524357485	0.416666666666667	1.26906770879413	1.27117610443487	0.0670363155401402	0	TRUE	TRUE	0	0.442304940853356	0	0	0.110576235213339
1	0.05	2	0.192152421353064	0.003247038350995	0.40625	1.26641597436585	2.19029780378488	0.111464565994736	0	TRUE	TRUE	0.181153453159936	0.164437636113068	0.489317951028837	0	0.220492053156006
0.5	0.05	2	0.192859111598485	0.00331780079590147	0.40625	1.26572462776188	2.4690736176115	0.122836349593193	0	TRUE	TRUE	0.224354301761345	0.0919934971232999	0.637731387589534	0	0.251504087591337
0.1	0.05	2	0.193616713586582	0.00340830522951222	0.40625	1.26499032425097	2.8174641510921	0.134922022587599	0	TRUE	TRUE	0.270667448150414	0.0150480325764113	0.82320600114846	0	0.290203560041481
0.05	0.05	2	0.193712796885594	0.00343466757785432	0.40625	1.26484671834491	2.87782526987087	0.136764419260257	0	TRUE	TRUE	0.276541139036355	0	0.855340786980986	0	0.295511669962557
5	0.1	2	0.199724232413657	0.000764759637425035	0.385416666666667	1.2743898865516	1.3996901471728	0.0737620884766896	0	FALSE	TRUE	0.644027626656224	1	0.0684177384947233	0	0.553495979694245
1	0.1	2	0.203643897744469	0.00179995961103611	0.375	1.27129134593344	2.41703533470774	0.12245519613087	0	FALSE	TRUE	0.883641615418384	0.675313213488634	0.610027476362611	0	0.688472525582954
0.5	0.1	2	0.204542834521613	0.00206996385181675	0.375	1.27045347338271	2.72031426387414	0.134798298432791	0	FALSE	TRUE	0.938594732237592	0.587515059606962	0.771485773250685	0	0.723543549058794
0.1	0.1	2	0.205419103202959	0.00223179983742909	0.375	1.26960608217197	3.0865704032837	0.147426207590149	0	FALSE	TRUE	0.99216212032918	0.498719473866529	0.966471599191206	0	0.764447142453004
0.05	0.1	2	0.205547317191515	0.00226852449878939	0.375	1.26948505546457	3.14954925101056	0.149331737619534	0	FALSE	TRUE	1	0.48603744785821	1	0	0.771509361964553
