scenario	replicate	seed	method	study_l2	marker_l2	rmse	mean_absolute_error	dominant_accuracy	mean_entropy_true	mean_entropy_pred	nb_initial_objective	nb_final_objective	nb_best_objective	nb_objective_improvement	nb_best_iteration	nb_executed_iterations	nb_stop_reason	nb_any_rollback	nb_rollback_count	study_effect_l2_norm	study_effect_mean_abs
batch_confounding	1	410	fibrodynmix_nb	NA	0.05	0.182773145206436	0.133172590541809	0.375	1.23660828880167	1.44924119152319	1.3639819595899	1.30323217542042	1.30323217542042	0.060749784169472	2	2	max_iterations	FALSE	0	NA	NA
batch_confounding	1	410	fibrodynmix_nb_study	0.05	0.05	0.191284120150171	0.138859839494227	0.354166666666667	1.23660828880167	1.46767225068365	1.36398095120776	1.29635855241435	1.29635855241435	0.067622398793407	2	2	max_iterations	FALSE	0	2.68640500522147	0.130914465114773
batch_confounding	1	410	fibrodynmix_nb_study	0.05	0.1	0.203943228135133	0.14701398254355	0.333333333333333	1.23660828880167	1.37953323738846	1.37124453039015	1.30092782796943	1.30092782796943	0.0703167024207187	2	2	max_iterations	FALSE	0	2.92865654644017	0.143824792204373
batch_confounding	1	410	fibrodynmix_nb_study	0.1	0.05	0.191206677846441	0.138789749573077	0.354166666666667	1.23660828880167	1.46784942969256	1.36397910302353	1.29651661757491	1.29651661757491	0.0674624854486179	2	2	max_iterations	FALSE	0	2.6387242402377	0.129290160749668
batch_confounding	1	410	fibrodynmix_nb_study	0.1	0.1	0.203840982403662	0.146943358569282	0.333333333333333	1.23660828880167	1.3794843078195	1.37124560376427	1.30102871725791	1.30102871725791	0.070216886506365	2	2	max_iterations	FALSE	0	2.87806034597926	0.142116661612551
batch_confounding	1	410	fibrodynmix_nb_study	0.5	0.05	0.190513072157077	0.1383420694088	0.354166666666667	1.23660828880167	1.4671782963577	1.36397905378453	1.29713627974042	1.29713627974042	0.0668427740441149	2	2	max_iterations	FALSE	0	2.34629425476234	0.11853637781577
batch_confounding	1	410	fibrodynmix_nb_study	0.5	0.1	0.203079149045182	0.146267460598663	0.333333333333333	1.23660828880167	1.38090215433684	1.37124671781009	1.30172643929967	1.30172643929967	0.0695202785104232	2	2	max_iterations	FALSE	0	2.57741694829266	0.131061178257811
batch_confounding	1	410	fibrodynmix_nb_study	1	0.05	0.189856418516303	0.137928314228472	0.354166666666667	1.23660828880167	1.46647172715206	1.36397790030975	1.29773897673386	1.29773897673386	0.0662389235758929	2	2	max_iterations	FALSE	0	2.10021500716775	0.108246694042344
batch_confounding	1	410	fibrodynmix_nb_study	1	0.1	0.202371134097644	0.145703153990582	0.333333333333333	1.23660828880167	1.37926474914138	1.37124409565867	1.30245667536768	1.30245667536768	0.0687874202909895	2	2	max_iterations	FALSE	0	2.31207636229629	0.119699345890155
batch_confounding	1	410	fibrodynmix_nb_study	5	0.05	0.187101678032864	0.135960738505619	0.354166666666667	1.23660828880167	1.46124313839269	1.36397885783365	1.30014280000328	1.30014280000328	0.0638360578303685	2	2	max_iterations	FALSE	0	1.24925716765288	0.0668070349881231
batch_confounding	1	410	fibrodynmix_nb_study	5	0.1	0.199183465688056	0.143367521620185	0.333333333333333	1.23660828880167	1.3711629292867	1.37124534792788	1.30525962019753	1.30525962019753	0.0659857277303513	2	2	max_iterations	FALSE	0	1.37381863851081	0.0736746902981448
batch_confounding	2	411	fibrodynmix_nb	NA	0.05	0.186257558831585	0.139308547227807	0.5	1.22227183720647	1.46127730351218	1.30098294483856	1.24095936094163	1.24095936094163	0.060023583896925	2	2	max_iterations	FALSE	0	NA	NA
batch_confounding	2	411	fibrodynmix_nb_study	0.05	0.05	0.196141473621016	0.144583837697195	0.458333333333333	1.22227183720647	1.48042836178536	1.3009866579319	1.23333488427548	1.23333488427548	0.067651773656425	2	2	max_iterations	FALSE	0	3.06924553452028	0.142614373405741
batch_confounding	2	411	fibrodynmix_nb_study	0.05	0.1	0.207151406247896	0.152062683417118	0.416666666666667	1.22227183720647	1.40128988359916	1.30791279942903	1.23804228295971	1.23804228295971	0.0698705164693174	2	2	max_iterations	FALSE	0	3.37044195558095	0.154838683034695
batch_confounding	2	411	fibrodynmix_nb_study	0.1	0.05	0.196026749326724	0.144512312610369	0.458333333333333	1.22227183720647	1.48034574135789	1.30098581022936	1.23346403092703	1.23346403092703	0.0675217793023322	2	2	max_iterations	FALSE	0	2.99620406194649	0.14055388442553
batch_confounding	2	411	fibrodynmix_nb_study	0.1	0.1	0.206997224002257	0.151978080453312	0.416666666666667	1.22227183720647	1.40138046208452	1.30792187973892	1.23818344708604	1.23818344708604	0.0697384326528803	2	2	max_iterations	FALSE	0	3.29508046058813	0.152735753567746
batch_confounding	2	411	fibrodynmix_nb_study	0.5	0.05	0.195205151039893	0.144031466209304	0.458333333333333	1.22227183720647	1.48001996256324	1.30098790054973	1.23431297578335	1.23431297578335	0.0666749247663849	2	2	max_iterations	FALSE	0	2.59185298046067	0.127136321370616
batch_confounding	2	411	fibrodynmix_nb_study	0.5	0.1	0.206006519998044	0.15137862070673	0.416666666666667	1.22227183720647	1.40100531201835	1.30791734621596	1.23918050746574	1.23918050746574	0.0687368387502152	2	2	max_iterations	FALSE	0	2.86321157945563	0.138535418607771
batch_confounding	2	411	fibrodynmix_nb_study	1	0.05	0.194448424189826	0.14359703729712	0.458333333333333	1.22227183720647	1.47890947728926	1.3009891521241	1.23509297199784	1.23509297199784	0.0658961801262572	2	2	max_iterations	FALSE	0	2.28038060040201	0.114682437947129
batch_confounding	2	411	fibrodynmix_nb_study	1	0.1	0.204916661391295	0.150721022195277	0.416666666666667	1.22227183720647	1.40066933151167	1.30791389449689	1.24012601649919	1.24012601649919	0.0677878779976941	2	2	max_iterations	FALSE	0	2.52199430711919	0.125211046371584
batch_confounding	2	411	fibrodynmix_nb_study	5	0.05	0.19127645802666	0.141983636220086	0.479166666666667	1.22227183720647	1.47391686466497	1.30098354743055	1.23799261758497	1.23799261758497	0.0629909298455718	2	2	max_iterations	FALSE	0	1.29309504121686	0.0672655960921572
batch_confounding	2	411	fibrodynmix_nb_study	5	0.1	0.200264999139258	0.147948054185518	0.4375	1.22227183720647	1.39493456316864	1.30791572749469	1.24352015290568	1.24352015290568	0.0643955745890106	2	2	max_iterations	FALSE	0	1.42556165583479	0.0738494866552344
