method	study_l2	marker_l2	rmse	dominant_accuracy	nb_best_objective	study_effect_l2_norm	study_effect_mean_abs
fibrodynmix_nb_study	0.05	0.05	0.193712796885594	0.40625	1.26484671834491	2.87782526987087	0.136764419260257
fibrodynmix_nb_study	0.1	0.05	0.193616713586582	0.40625	1.26499032425097	2.8174641510921	0.134922022587599
fibrodynmix_nb_study	0.5	0.05	0.192859111598485	0.40625	1.26572462776188	2.4690736176115	0.122836349593193
fibrodynmix_nb_study	1	0.05	0.192152421353064	0.40625	1.26641597436585	2.19029780378488	0.111464565994736
fibrodynmix_nb_study	5	0.05	0.189189068029762	0.416666666666667	1.26906770879413	1.27117610443487	0.0670363155401402
fibrodynmix_nb_study	0.05	0.1	0.205547317191515	0.375	1.26948505546457	3.14954925101056	0.149331737619534
fibrodynmix_nb_study	0.1	0.1	0.205419103202959	0.375	1.26960608217197	3.0865704032837	0.147426207590149
fibrodynmix_nb_study	0.5	0.1	0.204542834521613	0.375	1.27045347338271	2.72031426387414	0.134798298432791
fibrodynmix_nb_study	1	0.1	0.203643897744469	0.375	1.27129134593344	2.41703533470774	0.12245519613087
fibrodynmix_nb_study	5	0.1	0.199724232413657	0.385416666666667	1.2743898865516	1.3996901471728	0.0737620884766896
