cell_id	quantity	mean	sd	lower	upper
Cell000001	entropy	1.12912311016581	0.0977033075507167	0.929738595202148	1.27003602318826
Cell000002	entropy	1.32901795032516	0.0687855614003611	1.21050060102785	1.42211971356755
Cell000003	entropy	1.39204732218767	0.0484457389880129	1.31975172666242	1.46796498627937
Cell000004	entropy	1.29536668989134	0.094326761174983	1.09464542711854	1.44241731981754
Cell000005	entropy	1.23051376680688	0.0859800022134209	1.05905925505362	1.34926517242663
Cell000006	entropy	0.97476147972176	0.0512784052856066	0.8777071926235	1.06042372127941
Cell000007	entropy	1.1328756082305	0.145264999672236	0.868443400933816	1.35683433566772
Cell000008	entropy	1.45006040600333	0.0991235447878561	1.249139760316	1.59590365277483
Cell000009	entropy	1.50293536052088	0.0530576155250275	1.36904782328702	1.57146947189791
Cell000010	entropy	1.46193994288728	0.0737163800817464	1.31976660357686	1.54833472902773
Cell000011	entropy	1.57785812300637	0.0684529734243233	1.42898019341775	1.66455347904326
Cell000012	entropy	1.33815709330349	0.0573620358525133	1.23228220695446	1.43009956686414
Cell000013	entropy	1.3208620758641	0.077902952487864	1.18535286141074	1.4531568379523
Cell000014	entropy	1.50062640301801	0.0767551932745035	1.37653537060958	1.60765025393018
Cell000015	entropy	1.2509152657848	0.0835107651100437	1.06257102563158	1.34863729248819
Cell000016	entropy	1.46659479558806	0.0752361541010235	1.34337677038808	1.57495247088197
Cell000017	entropy	1.42298665954706	0.0813572988219589	1.27023151888834	1.53704051435338
Cell000018	entropy	1.32090181761864	0.0729988230622542	1.19904536000092	1.4261274453386
Cell000019	entropy	1.21222661389761	0.0821045670787954	1.07785009705959	1.34045229116667
Cell000020	entropy	1.31551129076041	0.071026079362276	1.17656671310336	1.41364831792721
Cell000021	entropy	1.38429077278459	0.053489097430437	1.28094613500888	1.47377162472459
Cell000022	entropy	1.38968668824411	0.100577455510074	1.21495304423248	1.59313801760398
Cell000023	entropy	1.46507506218937	0.0691057475742661	1.32889043271375	1.57526605253532
Cell000024	entropy	1.19567922558168	0.0762289035270825	1.0028701526094	1.30892139417027
Cell000025	entropy	1.36546972664804	0.143072122759059	1.08788647383262	1.61681363855456
Cell000026	entropy	1.71358320414277	0.0450120983777588	1.63977321942495	1.78433055038161
Cell000027	entropy	1.3446294220763	0.113663820045071	1.12985359655274	1.54036303732009
Cell000028	entropy	1.29028461084311	0.0525267509852668	1.19315980651085	1.37251244558422
Cell000029	entropy	1.57323353940486	0.0597051477451397	1.43906618727756	1.65693871866201
Cell000030	entropy	1.32370187158999	0.0624649393087669	1.22420593442786	1.39700208913072
Cell000031	entropy	1.41535848545697	0.087269164155083	1.23790024752996	1.53116542985691
Cell000032	entropy	1.35879814858954	0.0428056548887778	1.28563504025789	1.42316834148697
