cell_id	state	mean	sd	lower	upper
Cell000001	resident	0.442310826593784	0.12687401206501	0.242369693887754	0.663141802016692
Cell000002	resident	0.362104773476046	0.100092831704511	0.172852226801211	0.523456770758819
Cell000003	resident	0.219223392701667	0.0608030148640997	0.135374929183636	0.34729180732824
Cell000004	resident	0.0105367717317027	0.00370148749909998	0.00552866493333524	0.0166318194810509
Cell000005	resident	0.253083835147053	0.0846931477189249	0.131098961549825	0.430992331937475
Cell000006	resident	0.415664413409403	0.111277985686336	0.217504794263295	0.62543846396482
Cell000007	resident	0.0860111902073382	0.0385754177600552	0.0412516989137818	0.186598238245938
Cell000008	resident	0.416971955740499	0.113377307803066	0.215390732067788	0.602400523980966
Cell000009	resident	0.266234883257461	0.0866668963805642	0.143620076729739	0.428998704842379
Cell000010	resident	0.216419976447752	0.0572628022473015	0.111899153923378	0.314660379211393
Cell000011	resident	0.201565298915242	0.0520283554489701	0.108108884618947	0.285794179575799
Cell000012	resident	0.281875205844286	0.0755276561654024	0.156318994924604	0.437670214131778
Cell000013	resident	0.0353710411620048	0.014114567206695	0.0170747290412887	0.0691096331440506
Cell000014	resident	0.143898231974725	0.066747786607039	0.0574872301890254	0.284071261320897
Cell000015	resident	0.179777004344402	0.0723575404692054	0.103256415983931	0.358419116894892
Cell000016	resident	0.120429556533235	0.0479902347043706	0.0607434196404262	0.21025462045228
Cell000017	resident	0.378911207350966	0.105442257078317	0.209575693107665	0.57593859652672
Cell000018	resident	0.00150449465868839	0.000627163017508806	0.000692092154366663	0.00310800680425474
Cell000019	resident	0.372614576982642	0.0867761607210996	0.216763867724376	0.532061478809999
Cell000020	resident	0.317526378244907	0.101834299210353	0.14211129973973	0.580110049067993
Cell000021	resident	0.216510880387532	0.0661963179607332	0.093596178233143	0.33733013454051
Cell000022	resident	0.43862636989725	0.10934364774314	0.26097309534398	0.609231649036857
Cell000023	resident	0.350096676536908	0.080171585555571	0.225172062052863	0.48477847050952
Cell000024	resident	0.271254208490229	0.0883257757542148	0.126823743488255	0.442554916919946
Cell000025	resident	0.0389091348902578	0.0184396550604483	0.0151052931789753	0.0750126581075398
Cell000026	resident	0.208544502673952	0.0703968733837136	0.112469178306687	0.360311255794907
Cell000027	resident	0.482932685157592	0.0865249526055676	0.324852577838499	0.635105378044044
Cell000028	resident	0.245719289153369	0.0836789209593533	0.123031888727569	0.400583737286531
Cell000029	resident	0.194750645508352	0.0669078741357751	0.106308913542725	0.365183132781501
Cell000030	resident	0.000192596185806602	7.9527789994081e-05	9.70846032806777e-05	0.000366908960993969
Cell000031	resident	0.0919797215727333	0.0307674170115925	0.0464610942014991	0.153367283669717
Cell000032	resident	0.00141260589899158	0.000736173275812002	0.000611382004820986	0.00317308727878178
Cell000001	inflammatory	0.110016192023783	0.0405222568585885	0.0540238617227509	0.192538753396822
Cell000002	inflammatory	0.254812150168504	0.080932236957378	0.123929199292386	0.408346006524049
Cell000003	inflammatory	0.00384282268274528	0.00141884893499195	0.00205967851976566	0.00705198095758086
Cell000004	inflammatory	0.133369328999611	0.039952723833536	0.0735536933193897	0.211432944485111
Cell000005	inflammatory	0.00294002515485347	0.00112527240495318	0.0011119345409448	0.00510113522656785
Cell000006	inflammatory	0.000979728817944892	0.000463134216729921	0.000438989442702887	0.00191315057969063
Cell000007	inflammatory	0.579207511561976	0.100452419127055	0.41671580818346	0.754295547831467
Cell000008	inflammatory	0.170233512531	0.0597330447797447	0.0826943425356095	0.27286771792948
Cell000009	inflammatory	0.16550427524592	0.070126982468507	0.0733073359109944	0.319769372136682
Cell000010	inflammatory	0.000428813752657998	0.000253948186002396	0.000235912014361972	0.00081856574270012
Cell000011	inflammatory	0.259841753827518	0.0910670891072114	0.123383743919546	0.42863522891345
Cell000012	inflammatory	0.10211236377887	0.0413042990269242	0.0424570267328789	0.180833750481671
Cell000013	inflammatory	0.189533187532591	0.0545124309185867	0.0832823474858427	0.294312692346138
Cell000014	inflammatory	0.2554211805014	0.0897482398813631	0.119143374777636	0.460233420055138
Cell000015	inflammatory	0.0990058306875249	0.0323568630744509	0.0440365632869237	0.153079498767449
Cell000016	inflammatory	0.341605988386762	0.097661404363093	0.201082310197032	0.51314127618972
Cell000017	inflammatory	0.13147847798852	0.0460362110872756	0.0739776388332294	0.243998351447529
Cell000018	inflammatory	0.326619971178801	0.101197285905382	0.177121010940355	0.506355627065624
Cell000019	inflammatory	0.388620103609339	0.103648419266442	0.225671166311996	0.594512890292494
Cell000020	inflammatory	0.0534962455823056	0.0260080472649094	0.0196500183096811	0.110138843969646
Cell000021	inflammatory	0.012114411176395	0.00526698553066225	0.00508132114620125	0.027267285307497
Cell000022	inflammatory	0.219751626978874	0.0767621518196434	0.11760110481959	0.395620874370708
Cell000023	inflammatory	0.237074531285541	0.0766227232670549	0.135572626187398	0.383899721428614
Cell000024	inflammatory	0.0161890057495091	0.00746154046932082	0.00824235043742463	0.0292620064645858
Cell000025	inflammatory	0.500241885998644	0.102699207553961	0.304124400424146	0.674051870114069
Cell000026	inflammatory	0.127442636047876	0.0432048720502969	0.0673107122115888	0.210666608514916
Cell000027	inflammatory	0.0577101736757281	0.0239194122052495	0.0215540801173312	0.112944461466983
Cell000028	inflammatory	0.345454385981137	0.0893152047726185	0.18263254577853	0.490185932092985
Cell000029	inflammatory	0.0599067003478602	0.0228576629958319	0.0284178375188755	0.110166745928774
Cell000030	inflammatory	0.332702758947257	0.107725910149613	0.158915920128688	0.514618317434878
Cell000031	inflammatory	0.406110400358545	0.0935772083716664	0.251101833438681	0.576996588596636
Cell000032	inflammatory	0.200648878613184	0.0640484247592286	0.108141060195937	0.341202584054095
Cell000001	myofibroblast	0.0773941700256195	0.0360786257386345	0.0309715549288451	0.132256115715025
Cell000002	myofibroblast	0.230663805496978	0.0832203226385911	0.119602672987838	0.39733331580884
Cell000003	myofibroblast	0.155812665272282	0.0556857944149026	0.0765822456459173	0.257280381358358
Cell000004	myofibroblast	0.261629058944242	0.0603555890084567	0.143321923252135	0.367151481625312
Cell000005	myofibroblast	0.0239671531657422	0.0109463772812185	0.0117758865885832	0.0463360653055464
Cell000006	myofibroblast	0.00193917106934345	0.000665611489413219	0.0010570895431254	0.00336853055653067
Cell000007	myofibroblast	0.0121734347296716	0.00579393519599112	0.00620596820482305	0.0246544473192104
Cell000008	myofibroblast	0.236063203190445	0.092293368038816	0.110127223256451	0.422436613259408
Cell000009	myofibroblast	0.175956349297464	0.0616174415922011	0.0850238280610427	0.280120138164574
Cell000010	myofibroblast	0.319170761609742	0.101055988463782	0.127809628883843	0.52262136108025
Cell000011	myofibroblast	0.126787765536067	0.0477631102289778	0.0672085686988052	0.236250921084634
Cell000012	myofibroblast	0.0290101012593311	0.0122587544774773	0.0102242652183772	0.0564814042141821
Cell000013	myofibroblast	0.00044905123314178	0.000186488306429311	0.000183670359034654	0.000795867177501051
