sample_id	state	mean	sd	lower	upper
Donor001	antigen-presenting	0.168761435372941	0.0230829180564202	0.11828215951334	0.207045857033981
Donor002	antigen-presenting	0.157073800857627	0.0208147068442124	0.124573717540791	0.212201095217047
Donor003	antigen-presenting	0.153637152422352	0.0188361229636591	0.118903901479429	0.186985827280705
Donor004	antigen-presenting	0.122218089484746	0.0171300300424324	0.0950398115135584	0.152864925761821
Donor001	ECM-remodeling	0.162981787704855	0.0201845991335098	0.126360279592441	0.189855880818659
Donor002	ECM-remodeling	0.118819846504612	0.016530582882379	0.0928343101331748	0.154503853510504
Donor003	ECM-remodeling	0.098321557996928	0.0174318459710087	0.0670014992834047	0.129228317964022
Donor004	ECM-remodeling	0.124661122561054	0.0199859455476605	0.0984758832118266	0.161202143420858
Donor001	IFN-stress	0.110637890316925	0.00910684951135073	0.0936537130338505	0.126873731376301
Donor002	IFN-stress	0.1649662827997	0.0120958614777409	0.144986910107471	0.18808817202827
Donor003	IFN-stress	0.112784083935638	0.00822413974525564	0.0981680491283334	0.127115225176887
Donor004	IFN-stress	0.125896577714988	0.0089437447600737	0.109536847595008	0.145519157219062
Donor001	inflammatory	0.156925158992552	0.0181102365252155	0.132798227613714	0.195681310275484
Donor002	inflammatory	0.176681674214156	0.0220614813989447	0.125426745091832	0.213794448122606
Donor003	inflammatory	0.173168046693661	0.0230785506980447	0.138853111994901	0.219641497893931
Donor004	inflammatory	0.253777227496279	0.0267687260749393	0.216328048729966	0.299664714967539
Donor001	myofibroblast	0.12495533273679	0.0189860335437872	0.092661650835692	0.163799676805592
Donor002	myofibroblast	0.201761995814017	0.0279504290110922	0.15661923685235	0.256352458544881
Donor003	myofibroblast	0.168708559882782	0.0185504156955479	0.141722927291426	0.212544378549322
Donor004	myofibroblast	0.215391835112801	0.0220434010919313	0.182970932960672	0.261009155994527
Donor001	resident	0.275738394875937	0.0303814318774271	0.224963984456037	0.322868936895696
Donor002	resident	0.180696399809889	0.0195725049405335	0.136857188172872	0.214283627748642
Donor003	resident	0.29338059906864	0.0229891438379444	0.254436345722539	0.327165731310031
Donor004	resident	0.158055147630132	0.0180427703302134	0.123712448050837	0.186455050204603
