source_state	target_state	flow
resident	resident	0.063477407388936
inflammatory	resident	7.71127311869104e-18
myofibroblast	resident	9.43248908121559e-34
ECM-remodeling	resident	1.02198881702036e-33
antigen-presenting	resident	1.86901294555918e-18
IFN-stress	resident	2.45921130698084e-18
resident	inflammatory	7.35318409086883e-18
inflammatory	inflammatory	0.0181176511298312
myofibroblast	inflammatory	4.92087512248073e-34
ECM-remodeling	inflammatory	5.33165668343492e-34
antigen-presenting	inflammatory	9.75053268358656e-19
IFN-stress	inflammatory	1.28295634770942e-18
resident	myofibroblast	0.12075569168511
inflammatory	myofibroblast	0.0660654335209422
myofibroblast	myofibroblast	0.036394377003878
ECM-remodeling	myofibroblast	8.75577005389038e-18
antigen-presenting	myofibroblast	0.0160125505353103
IFN-stress	myofibroblast	0.0210690061958109
resident	ECM-remodeling	0.27004787799028
inflammatory	ECM-remodeling	0.147743181972417
myofibroblast	ECM-remodeling	1.80720605965961e-17
ECM-remodeling	ECM-remodeling	0.0881834896763745
antigen-presenting	ECM-remodeling	0.0358091219795138
IFN-stress	ECM-remodeling	0.0471169543658401
resident	antigen-presenting	1.56904135655573e-17
inflammatory	antigen-presenting	8.58422456006878e-18
myofibroblast	antigen-presenting	1.05002900542182e-33
ECM-remodeling	antigen-presenting	1.13768263270527e-33
antigen-presenting	antigen-presenting	0.00937016133945167
IFN-stress	antigen-presenting	2.73760529225908e-18
resident	IFN-stress	7.6150767903907e-17
inflammatory	IFN-stress	4.16620817148994e-17
myofibroblast	IFN-stress	5.09613814512651e-33
ECM-remodeling	IFN-stress	5.5215501968426e-33
antigen-presenting	IFN-stress	1.00978099031861e-17
IFN-stress	IFN-stress	0.0598370952163033
