scenario	replicate	disease	state	fraction
continuous	1	disease	resident	0.156363668820696
continuous	1	disease	inflammatory	0.228189046987692
continuous	1	disease	myofibroblast	0.292757806569879
continuous	1	disease	ECM-remodeling	0.225403922694082
continuous	1	disease	antigen-presenting	0.0468603196244826
continuous	1	disease	IFN-stress	0.0504252353031675
continuous	1	normal	resident	0.59675938956013
continuous	1	normal	inflammatory	0.0767288247085661
continuous	1	normal	myofibroblast	0.0789368061463628
continuous	1	normal	ECM-remodeling	0.079658683710788
continuous	1	normal	antigen-presenting	0.088418264206488
continuous	1	normal	IFN-stress	0.0794980316676649
continuous	2	disease	resident	0.158563886381183
continuous	2	disease	inflammatory	0.257129811394001
continuous	2	disease	myofibroblast	0.26229250243703
continuous	2	disease	ECM-remodeling	0.233881701745212
continuous	2	disease	antigen-presenting	0.0426309411214202
continuous	2	disease	IFN-stress	0.0455011569211552
continuous	2	normal	resident	0.600595047184189
continuous	2	normal	inflammatory	0.0793345833796174
continuous	2	normal	myofibroblast	0.0819541118904711
continuous	2	normal	ECM-remodeling	0.0770806854549505
continuous	2	normal	antigen-presenting	0.0807895849386632
continuous	2	normal	IFN-stress	0.080245987152109
continuous	3	disease	resident	0.151579488339857
continuous	3	disease	inflammatory	0.250064126360137
continuous	3	disease	myofibroblast	0.276956255967059
continuous	3	disease	ECM-remodeling	0.231040449476839
continuous	3	disease	antigen-presenting	0.0454416969203262
continuous	3	disease	IFN-stress	0.0449179829357816
continuous	3	normal	resident	0.608777957726862
continuous	3	normal	inflammatory	0.0823711062380269
continuous	3	normal	myofibroblast	0.0782284817408034
continuous	3	normal	ECM-remodeling	0.0763562270059543
continuous	3	normal	antigen-presenting	0.0735595282996176
continuous	3	normal	IFN-stress	0.0807066989887358
discrete	1	disease	resident	0
discrete	1	disease	inflammatory	0.407407407407407
discrete	1	disease	myofibroblast	0.462962962962963
discrete	1	disease	ECM-remodeling	0.12962962962963
discrete	1	disease	antigen-presenting	0
discrete	1	disease	IFN-stress	0
discrete	1	normal	resident	1
discrete	1	normal	inflammatory	0
