scenario	scenario_label	method	method_label	rmse	dominant_accuracy	downstream_balanced_accuracy	downstream_macro_f1	rmse_label
continuous	Continuous	fibrodynmix_vi	FDM VI	0.146358184289435	0.450617283950617	0.753086419753086	0.752772351606749	0.15
discrete	Discrete	fibrodynmix_vi	FDM VI	0.287748839773376	0.851851851851852	0.96604938271605	0.966033230813105	0.29
batch_confounding	Batch	fibrodynmix_vi	FDM VI	0.175623670558322	0.527777777777778	0.944444444444444	0.944434916006682	0.18
rare_transition	Rare	fibrodynmix_vi	FDM VI	0.182584600157838	0.41358024691358	0.783950617283951	0.783671829102064	0.18
continuous	Continuous	fibrodynmix_nb	FDM NB	0.145794918748965	0.462962962962963	0.780864197530864	0.780705522372189	0.15
discrete	Discrete	fibrodynmix_nb	FDM NB	0.28489459661269	0.867283950617284	0.972222222222222	0.972207128307617	0.28
batch_confounding	Batch	fibrodynmix_nb	FDM NB	0.175221474297586	0.533950617283951	0.95679012345679	0.956772646206468	0.18
rare_transition	Rare	fibrodynmix_nb	FDM NB	0.18190512122156	0.41358024691358	0.805555555555555	0.805299251849643	0.18
continuous	Continuous	fibrodynmix_initializer	FDM init.	0.132094732967159	0.478395061728395	0.79320987654321	0.792444884136662	0.13
discrete	Discrete	fibrodynmix_initializer	FDM init.	0.283364656331755	0.916666666666667	0.972222222222222	0.972215604752246	0.28
batch_confounding	Batch	fibrodynmix_initializer	FDM init.	0.167181476389451	0.580246913580247	0.938271604938272	0.938042644143133	0.17
rare_transition	Rare	fibrodynmix_initializer	FDM init.	0.171511070410546	0.484567901234568	0.845679012345679	0.845529520126421	0.17
continuous	Continuous	marker_scoring	Marker	0.131405173809012	0.512345679012346	0.796296296296297	0.795846092397816	0.13
discrete	Discrete	marker_scoring	Marker	0.305268265898778	0.941358024691358	0.972222222222222	0.972209247009899	0.31
batch_confounding	Batch	marker_scoring	Marker	0.171816266693866	0.604938271604938	0.916666666666666	0.916452133129136	0.17
rare_transition	Rare	marker_scoring	Marker	0.172418405050114	0.527777777777778	0.833333333333333	0.833293613796058	0.17
