scenario	replicate	method	cell_id	true_entropy	pred_entropy	entropy_abs_error	scenario_label
continuous	3	fibrodynmix_nb	Cell000095	1.52369725885981	1.5075376662174	0.0161595926424101	Continuous
continuous	2	fibrodynmix_vi	Cell000059	1.51948782941877	1.56317395983905	0.043686130420272	Continuous
rare_transition	2	fibrodynmix_nb	Cell000037	1.11425770108635	1.57847449133863	0.464216790252277	Rare
continuous	1	fibrodynmix_nb	Cell000103	1.48124545526465	1.38302533000354	0.0982201252611106	Continuous
continuous	1	marker_scoring	Cell000022	1.58283118587999	1.68259139422722	0.099760208347226	Continuous
continuous	3	marker_scoring	Cell000093	1.55007812200083	1.74865764636803	0.198579524367196	Continuous
continuous	3	marker_scoring	Cell000101	1.58622650746614	1.76911994429885	0.182893436832711	Continuous
rare_transition	1	fibrodynmix_nb	Cell000052	1.03109299876913	1.37987238655427	0.348779387785138	Rare
rare_transition	3	marker_scoring	Cell000005	1.22224331586701	1.65077684106158	0.428533525194565	Rare
rare_transition	3	marker_scoring	Cell000042	1.18674214708245	1.77513057312245	0.588388426039998	Rare
continuous	1	fibrodynmix_nb	Cell000002	1.23117007880125	1.53265539440511	0.301485315603853	Continuous
rare_transition	1	fibrodynmix_nb	Cell000041	1.26237324452855	1.68118823427235	0.418814989743803	Rare
continuous	3	fibrodynmix_nb	Cell000053	1.27712920943967	1.54945307307813	0.272323863638462	Continuous
rare_transition	1	marker_scoring	Cell000024	1.35628754806962	1.7226304388849	0.366342890815279	Rare
continuous	1	marker_scoring	Cell000014	1.35411193787718	1.61723222625252	0.263120288375341	Continuous
continuous	1	fibrodynmix_vi	Cell000015	1.14129792893749	1.53790090654759	0.3966029776101	Continuous
continuous	3	marker_scoring	Cell000027	1.45557158743948	1.75502773594785	0.29945614850837	Continuous
continuous	3	marker_scoring	Cell000085	1.28790399747376	1.69032723594767	0.402423238473911	Continuous
rare_transition	3	fibrodynmix_nb	Cell000039	1.24921609921344	1.50578762140393	0.256571522190497	Rare
rare_transition	1	marker_scoring	Cell000081	0.948483959184918	1.68679382659019	0.738309867405275	Rare
continuous	1	marker_scoring	Cell000042	1.49747649804869	1.71755636171287	0.220079863664181	Continuous
rare_transition	1	fibrodynmix_vi	Cell000080	1.03452366933156	1.42832278742075	0.393799118089185	Rare
rare_transition	3	marker_scoring	Cell000081	1.43755639000248	1.76854371720853	0.330987327206054	Rare
rare_transition	1	marker_scoring	Cell000017	1.29306209353441	1.78187795184772	0.488815858313306	Rare
continuous	1	fibrodynmix_vi	Cell000104	1.49762057546912	1.76604131523974	0.268420739770622	Continuous
rare_transition	1	fibrodynmix_nb	Cell000025	1.4662460460467	1.44564705756976	0.0205989884769333	Rare
continuous	3	marker_scoring	Cell000076	1.44077948335095	1.7071338316098	0.266354348258844	Continuous
rare_transition	3	fibrodynmix_vi	Cell000083	1.04173175311414	1.73117083359301	0.689439080478876	Rare
rare_transition	1	fibrodynmix_vi	Cell000098	1.47585322672401	1.73688037776757	0.26102715104356	Rare
rare_transition	1	marker_scoring	Cell000103	1.50376340106475	1.74105597065241	0.237292569587665	Rare
continuous	3	fibrodynmix_nb	Cell000059	1.56726699868354	1.54262918369276	0.0246378149907864	Continuous
rare_transition	3	fibrodynmix_vi	Cell000013	1.06401070320007	1.65221004977032	0.588199346570244	Rare
rare_transition	1	fibrodynmix_nb	Cell000002	0.92458528869143	1.47448162924619	0.549896340554764	Rare
rare_transition	3	fibrodynmix_vi	Cell000108	1.48055693096079	1.54036212372809	0.0598051927672982	Rare
continuous	3	fibrodynmix_vi	Cell000040	1.42554844566178	1.53135961147081	0.105811165809039	Continuous
rare_transition	1	fibrodynmix_vi	Cell000029	1.47664814742538	1.62726124762983	0.15061310020445	Rare
continuous	3	marker_scoring	Cell000092	1.64650414317144	1.70897427215693	0.0624701289854872	Continuous
rare_transition	2	fibrodynmix_nb	Cell000081	1.04690523465465	1.38999218218352	0.343086947528869	Rare
continuous	2	fibrodynmix_vi	Cell000080	1.33566509725815	1.45251890026669	0.11685380300854	Continuous
continuous	1	fibrodynmix_vi	Cell000089	1.2038795506795	1.29863483619838	0.0947552855188845	Continuous
rare_transition	3	marker_scoring	Cell000043	1.04784952251347	1.73971104536667	0.691861522853192	Rare
rare_transition	2	marker_scoring	Cell000081	1.04690523465465	1.75875739197514	0.711852157320488	Rare
rare_transition	2	marker_scoring	Cell000106	1.55800900758402	1.78031123452226	0.222302226938245	Rare
