study_l2	marker_l2	n_replicates	rmse_mean	rmse_sd	dominant_accuracy_mean	nb_best_objective_mean	study_effect_l2_norm_mean	study_effect_mean_abs_mean	rollback_rate	within_rmse_tolerance	within_objective_tolerance	rmse_scaled	objective_scaled	study_effect_scaled	rollback_scaled	selection_score
5	0.05	2	0.189189070601097	0.00295201190380273	0.416666666666667	1.26906770795934	1.27117611166821	0.0670363162211137	0	TRUE	TRUE	0	0.442304841135009	0	0	0.110576210283752
1	0.05	2	0.19215242183065	0.00324703761650455	0.40625	1.26641597504742	2.1902978115152	0.111464565226227	0	TRUE	TRUE	0.181153339267128	0.164437692813709	0.489317952822157	0	0.220492016438066
0.5	0.05	2	0.192859111647631	0.00331780075119659	0.40625	1.26572462779315	2.46907361944271	0.122836349722461	0	TRUE	TRUE	0.224354165040155	0.0919934850349534	0.637731386705983	0	0.251504022868004
0.1	0.05	2	0.193616713511516	0.00340830531460285	0.40625	1.26499032422273	2.81746414469099	0.134922021891605	0	TRUE	TRUE	0.270667307440975	0.015048013566771	0.823205996461694	0	0.290203491032471
0.05	0.05	2	0.193712797657813	0.00343466633171967	0.40625	1.26484671849936	2.87782525724497	0.136764418836697	0	TRUE	TRUE	0.276541050579699	0	0.855340779080686	0	0.295511628577002
5	0.1	2	0.199724232143927	0.000764759976487032	0.385416666666667	1.27438988662103	1.39969015330179	0.0737620888711803	0	FALSE	TRUE	0.644027503108524	1	0.0684177381205514	0	0.553495924022946
1	0.1	2	0.203643897823663	0.00179995956900026	0.375	1.27129134587542	2.41703533483682	0.12245519619396	0	FALSE	TRUE	0.883641531852008	0.675313197242192	0.610027474486341	0	0.68847248354122
0.5	0.1	2	0.204542834394223	0.00206996385831356	0.375	1.27045347337348	2.72031428748264	0.134798298558791	0	FALSE	TRUE	0.938594640319995	0.58751504769053	0.771485784378712	0	0.723543506942373
0.1	0.1	2	0.205419103306226	0.00223179991610996	0.375	1.26960608213318	3.08657043459785	0.147426208887867	0	FALSE	TRUE	0.99216204668146	0.498719458060413	0.966471615030717	0	0.764447108527904
0.05	0.1	2	0.205547318489548	0.00226852281362065	0.375	1.26948505511206	3.14954925237545	0.149331738210796	0	FALSE	TRUE	1	0.486037399065612	1	0	0.771509349766403
