cell_id	condition	condition_label	metric	value
Cell000001	normal	Normal	FPI	0.993943580951557
Cell000002	normal	Normal	FPI	1.02341875230316
Cell000003	normal	Normal	FPI	0.905650915544523
Cell000004	normal	Normal	FPI	1.02946928318883
Cell000005	normal	Normal	FPI	0.908750271783122
Cell000006	normal	Normal	FPI	1.07009980355602
Cell000007	normal	Normal	FPI	0.90464919793077
Cell000008	normal	Normal	FPI	0.940548011733089
Cell000009	normal	Normal	FPI	0.867315327316219
Cell000010	normal	Normal	FPI	0.970211953237953
Cell000011	normal	Normal	FPI	1.07095135872562
Cell000012	normal	Normal	FPI	0.885514047622104
Cell000013	normal	Normal	FPI	1.00321711657606
Cell000014	normal	Normal	FPI	0.933703208730569
Cell000015	normal	Normal	FPI	0.87137633629188
Cell000016	normal	Normal	FPI	0.934727323647934
Cell000017	normal	Normal	FPI	0.995536725482899
Cell000018	normal	Normal	FPI	0.936407944010908
Cell000019	normal	Normal	FPI	1.01498458078053
Cell000020	normal	Normal	FPI	1.03891337431285
Cell000021	normal	Normal	FPI	1.0289969750735
Cell000022	normal	Normal	FPI	0.895735510479263
Cell000023	normal	Normal	FPI	0.970203282191332
Cell000024	normal	Normal	FPI	1.02839802171421
Cell000025	normal	Normal	FPI	0.866442439557239
Cell000026	normal	Normal	FPI	0.87025410737826
Cell000027	normal	Normal	FPI	0.888989041610529
Cell000028	normal	Normal	FPI	0.914675353905853
Cell000029	normal	Normal	FPI	1.09914276269612
Cell000030	normal	Normal	FPI	1.01412538467869
Cell000031	disease	Disease	FPI	0.973533391112103
Cell000032	disease	Disease	FPI	0.887987321349058
Cell000033	disease	Disease	FPI	0.876616441513462
Cell000034	disease	Disease	FPI	0.910764955199504
Cell000035	disease	Disease	FPI	0.868274228407626
Cell000036	disease	Disease	FPI	0.963505222592162
Cell000037	disease	Disease	FPI	0.936810478317726
Cell000038	disease	Disease	FPI	0.89850826733337
Cell000039	disease	Disease	FPI	0.848247612718046
Cell000040	disease	Disease	FPI	1.03832551867594
Cell000041	disease	Disease	FPI	0.86908824803912
Cell000042	disease	Disease	FPI	0.8470820631506
Cell000043	disease	Disease	FPI	0.827313168960705
Cell000044	disease	Disease	FPI	0.811136286138306
Cell000045	disease	Disease	FPI	0.890826356091121
Cell000046	disease	Disease	FPI	0.852080175543601
Cell000047	disease	Disease	FPI	0.714363667679819
Cell000048	disease	Disease	FPI	0.797119460421301
Cell000049	disease	Disease	FPI	0.91698600364236
Cell000050	disease	Disease	FPI	0.934727323647934
Cell000051	disease	Disease	FPI	0.912535425255775
Cell000052	disease	Disease	FPI	0.916627965380979
Cell000053	disease	Disease	FPI	0.793494411609688
Cell000054	disease	Disease	FPI	0.81439665523374
Cell000055	disease	Disease	FPI	0.909792357049285
Cell000056	disease	Disease	FPI	0.835395815269469
Cell000057	disease	Disease	FPI	0.924877598125262
Cell000058	disease	Disease	FPI	0.898156548781292
Cell000059	disease	Disease	FPI	0.89875031394167
Cell000060	disease	Disease	FPI	0.834010902031899
Cell000061	normal	Normal	FPI	1.01208472560375
Cell000062	normal	Normal	FPI	0.939852920113993
Cell000063	normal	Normal	FPI	1.01570812447818
Cell000064	normal	Normal	FPI	0.935660193914203
Cell000065	normal	Normal	FPI	1.01210593772153
Cell000066	normal	Normal	FPI	1.02037794285999
Cell000067	normal	Normal	FPI	1.02132095575191
Cell000068	normal	Normal	FPI	0.994308943079753
Cell000069	normal	Normal	FPI	0.921740153875173
Cell000070	normal	Normal	FPI	0.889344207538211
Cell000071	normal	Normal	FPI	0.955943146232872
Cell000072	normal	Normal	FPI	0.888027309329419
Cell000073	normal	Normal	FPI	1.12848534719022
Cell000074	normal	Normal	FPI	0.991970561107098
Cell000075	normal	Normal	FPI	0.922157827762205
Cell000076	normal	Normal	FPI	1.08126893623508
Cell000077	normal	Normal	FPI	0.926532016562224
Cell000078	normal	Normal	FPI	0.786307663658018
Cell000079	normal	Normal	FPI	1.02753708106551
Cell000080	normal	Normal	FPI	1.025288972198
Cell000081	normal	Normal	FPI	0.989678196561368
Cell000082	normal	Normal	FPI	0.927621090235158
Cell000083	normal	Normal	FPI	0.905358386934517
Cell000084	normal	Normal	FPI	1.05582683016202
Cell000085	normal	Normal	FPI	0.931399697380082
Cell000086	normal	Normal	FPI	0.934727323647934
Cell000087	normal	Normal	FPI	0.89381045493306
Cell000088	normal	Normal	FPI	0.960874393779352
Cell000089	normal	Normal	FPI	0.971646619916413
Cell000090	normal	Normal	FPI	0.955522368636157
Cell000091	disease	Disease	FPI	0.851286975211869
Cell000092	disease	Disease	FPI	0.859478086180031
Cell000093	disease	Disease	FPI	0.901050830362243
Cell000094	disease	Disease	FPI	0.749933868760339
