cell_id	disease	study_id	donor_id	is_transition	entropy	transition_potential	fpi	is_transition_label
Cell000001	normal	Study01	Donor001	FALSE	0.583060658395498	0.410882922556058	0.993943580951557	Other cells
Cell000002	normal	Study01	Donor001	FALSE	0.652156677099237	0.371262075203924	1.02341875230316	Other cells
Cell000003	normal	Study01	Donor001	FALSE	0.447184834957919	0.458466080586604	0.905650915544523	Other cells
Cell000004	normal	Study01	Donor001	FALSE	0.656940502430941	0.372528780757891	1.02946928318883	Other cells
Cell000005	normal	Study01	Donor001	FALSE	0.456456839559121	0.452293432224001	0.908750271783122	Other cells
Cell000006	normal	Study01	Donor001	FALSE	0.72840216784251	0.341697635713512	1.07009980355602	Other cells
Cell000007	normal	Study01	Donor001	FALSE	0.443681874130641	0.46096732380013	0.90464919793077	Other cells
Cell000008	normal	Study01	Donor001	FALSE	0.498783801264622	0.441764210468467	0.940548011733089	Other cells
Cell000009	normal	Study01	Donor001	FALSE	0.394262653117886	0.473052674198333	0.867315327316219	Other cells
Cell000010	normal	Study01	Donor001	FALSE	0.545085546607377	0.425126406630576	0.970211953237953	Other cells
Cell000011	normal	Study01	Donor001	FALSE	0.726910908224562	0.344040450501053	1.07095135872562	Other cells
Cell000012	normal	Study01	Donor001	FALSE	0.415556300358048	0.469957747264056	0.885514047622104	Other cells
Cell000013	normal	Study01	Donor001	FALSE	0.608063433917889	0.395153682658172	1.00321711657606	Other cells
Cell000014	normal	Study01	Donor001	FALSE	0.489155596169371	0.444547612561198	0.933703208730569	Other cells
Cell000015	normal	Study01	Donor001	FALSE	0.393931500896527	0.477444835395353	0.87137633629188	Other cells
Cell000016	normal	Study01	Donor001	TRUE	0.730615966877849	0.204111356770085	0.934727323647934	Rare transition
Cell000017	normal	Study01	Donor001	FALSE	0.588508827251174	0.407027898231725	0.995536725482899	Other cells
Cell000018	normal	Study01	Donor001	FALSE	0.495685827774947	0.440722116235961	0.936407944010908	Other cells
Cell000019	normal	Study01	Donor001	FALSE	0.631225896646257	0.383758684134269	1.01498458078053	Other cells
Cell000020	normal	Study01	Donor001	FALSE	0.672364492541925	0.366548881770929	1.03891337431285	Other cells
Cell000021	normal	Study01	Donor001	FALSE	0.643770095206345	0.385226879867154	1.0289969750735	Other cells
Cell000022	normal	Study01	Donor001	FALSE	0.4315421476164	0.464193362862862	0.895735510479263	Other cells
Cell000023	normal	Study01	Donor001	FALSE	0.547090767870852	0.423112514320481	0.970203282191332	Other cells
Cell000024	normal	Study01	Donor001	FALSE	0.645517691074629	0.382880330639585	1.02839802171421	Other cells
Cell000025	normal	Study01	Donor001	FALSE	0.388565927790162	0.477876511767078	0.866442439557239	Other cells
Cell000026	normal	Study01	Donor001	FALSE	0.393856029856071	0.476398077522189	0.87025410737826	Other cells
Cell000027	normal	Study01	Donor001	FALSE	0.419703841009564	0.469285200600965	0.888989041610529	Other cells
Cell000028	normal	Study01	Donor001	FALSE	0.461972461863771	0.452702892042082	0.914675353905853	Other cells
Cell000029	normal	Study01	Donor001	FALSE	0.775832994985683	0.32330976771044	1.09914276269612	Other cells
Cell000030	normal	Study01	Donor001	FALSE	0.617657328843968	0.396468055834726	1.01412538467869	Other cells
Cell000031	disease	Study01	Donor002	FALSE	0.893398300163128	0.0801350909489748	0.973533391112103	Other cells
Cell000032	disease	Study01	Donor002	FALSE	0.832563727321251	0.0554235940278072	0.887987321349058	Other cells
Cell000033	disease	Study01	Donor002	FALSE	0.798471000279947	0.0781454412335149	0.876616441513462	Other cells
Cell000034	disease	Study01	Donor002	FALSE	0.828755012986691	0.0820099422128122	0.910764955199504	Other cells
Cell000035	disease	Study01	Donor002	FALSE	0.817647945686114	0.0506262827215117	0.868274228407626	Other cells
Cell000036	disease	Study01	Donor002	FALSE	0.867779247725126	0.0957259748670361	0.963505222592162	Other cells
Cell000037	disease	Study01	Donor002	FALSE	0.832383460917172	0.104427017400554	0.936810478317726	Other cells
Cell000038	disease	Study01	Donor002	FALSE	0.841235395834828	0.057272871498542	0.89850826733337	Other cells
Cell000039	disease	Study01	Donor002	FALSE	0.810207448084443	0.0380401646336036	0.848247612718046	Other cells
Cell000040	disease	Study01	Donor002	FALSE	0.852630547085438	0.185694971590506	1.03832551867594	Other cells
Cell000041	disease	Study01	Donor002	FALSE	0.8058913008843	0.0631969471548209	0.86908824803912	Other cells
Cell000042	disease	Study01	Donor002	FALSE	0.795638639347113	0.0514434238034869	0.8470820631506	Other cells
Cell000043	disease	Study01	Donor002	FALSE	0.787674920367027	0.0396382485936775	0.827313168960705	Other cells
Cell000044	disease	Study01	Donor002	FALSE	0.768072864324977	0.0430634218133295	0.811136286138306	Other cells
Cell000045	disease	Study01	Donor002	FALSE	0.804591732465668	0.0862346236254539	0.890826356091121	Other cells
Cell000046	disease	Study01	Donor002	FALSE	0.794901772441466	0.0571784031021352	0.852080175543601	Other cells
Cell000047	disease	Study01	Donor002	FALSE	0.68147014698897	0.0328935206908494	0.714363667679819	Other cells
Cell000048	disease	Study01	Donor002	FALSE	0.747548250874203	0.0495712095470985	0.797119460421301	Other cells
Cell000049	disease	Study01	Donor002	FALSE	0.832226883040304	0.0847591206020556	0.91698600364236	Other cells
Cell000050	disease	Study01	Donor002	TRUE	0.730615966877849	0.204111356770085	0.934727323647934	Rare transition
Cell000051	disease	Study01	Donor002	FALSE	0.832303655658175	0.0802317695976001	0.912535425255775	Other cells
Cell000052	disease	Study01	Donor002	FALSE	0.820892947168928	0.0957350182120505	0.916627965380979	Other cells
Cell000053	disease	Study01	Donor002	FALSE	0.762626180714091	0.0308682308955969	0.793494411609688	Other cells
Cell000054	disease	Study01	Donor002	FALSE	0.766810795178204	0.047585860055536	0.81439665523374	Other cells
Cell000055	disease	Study01	Donor002	FALSE	0.821566438231133	0.0882259188181521	0.909792357049285	Other cells
Cell000056	disease	Study01	Donor002	FALSE	0.745518586033596	0.0898772292358735	0.835395815269469	Other cells
Cell000057	disease	Study01	Donor002	FALSE	0.82973451882643	0.0951430792988319	0.924877598125262	Other cells
Cell000058	disease	Study01	Donor002	FALSE	0.80589503249972	0.0922615162815718	0.898156548781292	Other cells
Cell000059	disease	Study01	Donor002	FALSE	0.830547498301703	0.0682028156399664	0.89875031394167	Other cells
Cell000060	disease	Study01	Donor002	FALSE	0.78645787731992	0.0475530247119782	0.834010902031899	Other cells
Cell000061	normal	Study01	Donor003	FALSE	0.615259562423557	0.396825163180192	1.01208472560375	Other cells
Cell000062	normal	Study01	Donor003	FALSE	0.499798261539952	0.440054658574041	0.939852920113993	Other cells
Cell000063	normal	Study01	Donor003	FALSE	0.619049966888976	0.396658157589208	1.01570812447818	Other cells
Cell000064	normal	Study01	Donor003	FALSE	0.490601473675796	0.445058720238408	0.935660193914203	Other cells
