source_state	target_state	flow
resident	resident	0.0757874472353339
inflammatory	resident	9.30703647494289e-18
myofibroblast	resident	1.46772190150971e-33
ECM-remodeling	resident	1.5570717949391e-33
antigen-presenting	resident	2.63531029779328e-18
IFN-stress	resident	7.41637406224721e-19
resident	inflammatory	9.68954973755022e-18
inflammatory	inflammatory	0.0241344431278485
myofibroblast	inflammatory	8.45103434854135e-34
ECM-remodeling	inflammatory	8.96550443829985e-34
antigen-presenting	inflammatory	1.5173922132529e-18
IFN-stress	inflammatory	4.2702934307387e-19
resident	myofibroblast	0.11381687343548
inflammatory	myofibroblast	0.0629478009582459
myofibroblast	myofibroblast	0.0447067084934467
ECM-remodeling	myofibroblast	1.05311981627456e-17
antigen-presenting	myofibroblast	0.0178238248593224
IFN-stress	myofibroblast	0.00501603748474726
resident	ECM-remodeling	0.257718146490282
inflammatory	ECM-remodeling	0.142534143654847
myofibroblast	ECM-remodeling	2.24776689033482e-17
ECM-remodeling	ECM-remodeling	0.107392983391239
antigen-presenting	ECM-remodeling	0.0403588937866574
IFN-stress	ECM-remodeling	0.0113579282603264
resident	antigen-presenting	5.69811055191416e-17
inflammatory	antigen-presenting	3.15140908402568e-17
myofibroblast	antigen-presenting	4.96977974212735e-33
ECM-remodeling	antigen-presenting	5.27232294862296e-33
antigen-presenting	antigen-presenting	0.0401869364599223
IFN-stress	antigen-presenting	2.51122133809428e-18
resident	IFN-stress	2.83243661320511e-16
inflammatory	IFN-stress	1.56651338921162e-16
myofibroblast	IFN-stress	2.47039540088211e-32
ECM-remodeling	IFN-stress	2.62078463032007e-32
antigen-presenting	IFN-stress	4.4356212391934e-17
IFN-stress	IFN-stress	0.0562178323623
