cell_id	state	mean	sd	lower	upper	interval_width	mean_entropy
Cell000001	entropy	1.61674103580317	0.10301350775602	1.48374684024859	1.6941583887605	0.210411548511909	1.61674103580317
Cell000002	entropy	1.33947785671683	0.0356240092620286	1.30812834066317	1.38573835604167	0.0776100153784987	1.33947785671683
Cell000003	entropy	1.71615605413487	0.0334577406500255	1.67633313653339	1.75296211390449	0.0766289773711006	1.71615605413487
Cell000004	entropy	1.51372289811976	0.10843262576021	1.38267455253716	1.61324306496775	0.230568512430593	1.51372289811976
Cell000005	entropy	1.65814346223808	0.0920737125381949	1.54660085243025	1.73690695087812	0.190306098447871	1.65814346223808
Cell000006	entropy	1.53283120507417	0.0949509423697712	1.43386555967188	1.63438912578042	0.200523566108547	1.53283120507417
Cell000007	entropy	1.67967774110651	0.0509967861150649	1.62817123661181	1.75424296104577	0.126071724433958	1.67967774110651
Cell000008	entropy	1.6002236141769	0.0627126751351127	1.51446765570984	1.66225484861279	0.147787192902942	1.6002236141769
Cell000009	entropy	1.69366846544372	0.0276715494774934	1.66095416953149	1.72449863395433	0.0635444644228453	1.69366846544372
Cell000010	entropy	1.61157869355477	0.0192566235552126	1.59198731479736	1.63129434430417	0.039307029506809	1.61157869355477
Cell000011	entropy	1.74867909459012	0.0189176667879131	1.72512397088079	1.76662781663366	0.04150384575287	1.74867909459012
Cell000012	entropy	1.56612647374757	0.0789853923023385	1.4760335803963	1.64160528367754	0.165571703281242	1.56612647374757
Cell000013	entropy	1.63648050374951	0.0429772633097618	1.59736667631392	1.68297534139785	0.0856086650839318	1.63648050374951
Cell000014	entropy	1.65583784255142	0.102814734919948	1.5007652645067	1.7340004441652	0.233235179658499	1.65583784255142
Cell000015	entropy	1.56126583219375	0.143966606176288	1.34195014790194	1.65765075199349	0.315700604091554	1.56126583219375
Cell000016	entropy	1.61621750310789	0.0368829619814504	1.58535422291305	1.65410136579894	0.0687471428858961	1.61621750310789
Cell000017	entropy	1.39280516132599	0.0947733891836584	1.33467709133517	1.49414129949219	0.159464208157016	1.39280516132599
Cell000018	entropy	1.68838823819453	0.0354931345684708	1.66454567386254	1.71223080252651	0.0476851286639712	1.68838823819453
Cell000019	entropy	1.56070308432056	0.06299696169841	1.51278957684254	1.65735576530961	0.144566188467066	1.56070308432056
Cell000020	entropy	1.68282980537444	0.0196496820769503	1.6696301031019	1.69602950764697	0.0263994045450655	1.68282980537444
Cell000021	entropy	1.4385278315729	0.029913650239205	1.40941434616899	1.47611746086996	0.0667031147009756	1.4385278315729
Cell000022	entropy	1.48510902766314	0.0651413803814471	1.4336574105386	1.58910326445929	0.155445853920693	1.48510902766314
Cell000023	entropy	1.69961893433568	0.0389922357727668	1.64755108028692	1.72855626980401	0.0810051895170956	1.69961893433568
Cell000024	entropy	1.55986936125846	0.0933617678529265	1.46304973251845	1.6816989304742	0.218649197955752	1.55986936125846
Cell000025	entropy	1.509034034188	0.102526294989691	1.35606798392102	1.59444639676914	0.238378412848127	1.509034034188
Cell000026	entropy	1.406327556584	0.183105855725648	1.22317178295327	1.62251491549734	0.399343132544071	1.406327556584
Cell000027	entropy	1.63565669997837	0.0441875086343635	1.5791528049271	1.67650645370375	0.0973536487766435	1.63565669997837
Cell000028	entropy	1.59258712802708	0.0370845282105739	1.54406384739148	1.64279663964558	0.0987327922541046	1.59258712802708
Cell000029	entropy	1.67782755023354	0.0909014801198757	1.5650337706189	1.76378863061976	0.198754860000862	1.67782755023354
Cell000030	entropy	1.5947712723409	0.0706158407980686	1.52013611256115	1.69386249107034	0.17372637850919	1.5947712723409
Cell000031	entropy	1.60475017317531	0.0510692523712598	1.53865988814065	1.67071904682987	0.132059158689226	1.60475017317531
Cell000032	entropy	1.59690758909431	0.029188232827353	1.56913381754561	1.63889563070521	0.0697618131596012	1.59690758909431
Cell000033	entropy	1.32021069296583	0.141947245707236	1.21675575625892	1.53558699696195	0.318831240703029	1.32021069296583
Cell000034	entropy	1.46558476320994	0.102969471973378	1.3426209375214	1.57280428017542	0.230183342654012	1.46558476320994
Cell000035	entropy	1.42696115057241	0.129743287964932	1.30734863106005	1.55349634945203	0.246147718391985	1.42696115057241
Cell000036	entropy	1.45623601309586	0.0677852795354746	1.36634717161221	1.50956638425968	0.143219212647465	1.45623601309586
Cell000037	entropy	1.44213578951117	0.0648024135325253	1.37071410281064	1.51759658783051	0.146882485019874	1.44213578951117
Cell000038	entropy	1.47835525537131	0.059555901859653	1.38796063247225	1.52954399496562	0.14158336249337	1.47835525537131
Cell000039	entropy	1.35464292079886	0.163579220428492	1.17158715871293	1.54238934296341	0.370802184250473	1.35464292079886
Cell000040	entropy	1.56108058497148	0.0414952714311644	1.51702424337429	1.59086861970056	0.0738443763262693	1.56108058497148
